-- Logs begin at Thu 2023-09-28 15:29:55 UTC, end at Fri 2023-09-29 06:23:45 UTC. --
Sep 29 06:12:38 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 29 06:12:38 ubuntu dstat.sh[108377]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 29 06:12:38 ubuntu dstat.sh[108377]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 29 06:14:16 ubuntu dstat.sh[108377]: 29-09 06:14:16| 86  10   3   0   0|1470M  197M  196M 5844M|1071k 1062k|   0   328k|   0  30.0 |6390    14k|3.09 1.47 0.87|8.0   0 2.0|   0     0 |   0     0 |  9   35    0   45    0
Sep 29 06:14:17 ubuntu dstat.sh[108377]: 29-09 06:14:17| 86  12   1   0   0|1334M  333M  196M 5844M| 945k  933k|   0    11M|   0   216 |4596    12k|3.09 1.47 0.87|7.0   0 112|   0     0 |   0     0 |  9   35    0   45    0
Sep 29 06:14:18 ubuntu dstat.sh[108377]: 29-09 06:14:18| 87  13   0   0   0|1427M  239M  196M 5844M| 309k  300k|   0   184k|   0  7.99 |2974  5595 |3.16 1.51 0.88|7.0   0  78|   0     0 |   0     0 |  9   35    0   43    0
Sep 29 06:14:19 ubuntu dstat.sh[108377]: 29-09 06:14:19| 75   8  16   0   0|1483M  183M  196M 5845M|1172k 1154k|   0   148k|   0  10.0 |7635    15k|3.16 1.51 0.88|3.0   0   0|   0     0 |   0     0 |  9   39    0   46    0
Sep 29 06:14:20 ubuntu dstat.sh[108377]: 29-09 06:14:20| 76  13  10   0   0|1418M  248M  196M 5845M|1233k 1216k|   0   440k|   0  38.0 |5882    15k|3.16 1.51 0.88|7.0   0 131|   0     0 |   0     0 |  9   36    0   48    0
Sep 29 06:14:21 ubuntu dstat.sh[108377]: 29-09 06:14:21| 83  15   2   0   0|1347M  319M  196M 5845M| 556k  543k|   0   260k|   0  20.0 |3594  9030 |3.16 1.51 0.88|4.0   0 190|   0     0 |   0     0 |  9   34    0   48    0
Sep 29 06:14:22 ubuntu dstat.sh[108377]: 29-09 06:14:22| 85  12   3   0   0|1379M  287M  196M 5845M| 792k  771k|   0   435k|   0  14.0 |4114    11k|3.16 1.51 0.88|5.0   0  37|   0     0 |   0     0 |  9   35    0   49    0
Sep 29 06:14:23 ubuntu dstat.sh[108377]: 29-09 06:14:23| 82  13   4   0   0|1383M  283M  196M 5846M| 700k  685k|   0   156k|   0  10.0 |4564    10k|3.23 1.56 0.90|6.0   0  83|   0     0 |   0     0 |  9   36    0   49    0
Sep 29 06:14:24 ubuntu dstat.sh[108377]: 29-09 06:14:24| 82  12   5   0   0|1349M  316M  196M 5846M|1031k 1018k|   0   432k|   0  45.0 |4927    14k|3.23 1.56 0.90|6.0   0  93|   0     0 |   0     0 |  9   35    0   50    0
Sep 29 06:14:25 ubuntu dstat.sh[108377]: 29-09 06:14:25| 84  15   2   0   0|1390M  275M  196M 5846M| 266k  256k|   0   300k|   0  23.0 |2609  5273 |3.23 1.56 0.90|5.0   0 132|   0     0 |   0     0 |  9   35    0   50    0
Sep 29 06:14:26 ubuntu dstat.sh[108377]: 29-09 06:14:26| 76  10  13   0   0|1384M  281M  197M 5846M|1270k 1261k|   0   152k|   0  9.00 |5672    16k|3.23 1.56 0.90|4.0   0  45|   0     0 |   0     0 |  9   37    0   51    0
Sep 29 06:14:27 ubuntu dstat.sh[108377]: 29-09 06:14:27| 76  11  13   0   0|1339M  325M  197M 5847M| 923k  913k|   0   156k|   0  11.0 |5216    13k|3.23 1.56 0.90|4.0   0  80|   0     0 |   0     0 |  9   35    0   51    0
Sep 29 06:14:28 ubuntu dstat.sh[108377]: 29-09 06:14:28| 83  13   3   0   0|1351M  313M  197M 5847M| 400k  390k|   0   232k|   0  23.0 |4181  7444 |3.37 1.61 0.92|4.0   0 127|   0     0 |   0     0 |  9   34    0   51    0
Sep 29 06:14:29 ubuntu dstat.sh[108377]: 29-09 06:14:29| 80  13   5   0   0|1352M  311M  197M 5847M| 778k  768k|   0   320k|   0  30.0 |4536    11k|3.37 1.61 0.92|5.0   0 124|   0     0 |   0     0 |  9   34    0   52    0
Sep 29 06:14:30 ubuntu dstat.sh[108377]: 29-09 06:14:30| 86  11   2   0   0|1353M  311M  197M 5847M| 480k  470k|4096B  308k|1.00  30.0 |4202  8676 |3.37 1.61 0.92|5.0   0  89|   0     0 |   0     0 |  9   35    0   50    0
Sep 29 06:14:31 ubuntu dstat.sh[108377]: 29-09 06:14:31| 79  11   9   0   0|1315M  348M  197M 5847M| 902k  894k|   0   260k|   0  21.0 |4939    13k|3.37 1.61 0.92|5.0   0 141|   0     0 |   0     0 |  9   34    0   51    0
Sep 29 06:14:32 ubuntu dstat.sh[108377]: 29-09 06:14:32| 88  10   2   0   1|1410M  253M  197M 5848M| 385k  375k|   0   348k|   0  19.0 |3025  6208 |3.37 1.61 0.92|5.0   0  56|   0     0 |   0     0 |  9   34    0   50    0
Sep 29 06:14:33 ubuntu dstat.sh[108377]: 29-09 06:14:33| 61  16  22   0   0|1310M  353M  197M 5848M|1083k 1071k|   0   316k|   0  24.0 |6544    15k|3.34 1.64 0.94|4.0   0 233|   0     0 |   0     0 |  9   36    0   52    0
Sep 29 06:14:34 ubuntu dstat.sh[108377]: 29-09 06:14:34| 66  10  24   0   0|1319M  344M  197M 5848M|  81k   67k|   0   268k|   0  23.0 |2147  2973 |3.34 1.64 0.94|4.0   0 112|   0     0 |   0     0 |  9   34    0   50    0
Sep 29 06:14:35 ubuntu dstat.sh[108377]: 29-09 06:14:35| 65   8  27   0   0|1370M  293M  197M 5848M| 696k  686k|   0   144k|   0  9.98 |3586  8320 |3.34 1.64 0.94|4.0   0   0|   0     0 |   0     0 |  9   36    0   51    0
Sep 29 06:14:36 ubuntu dstat.sh[108377]: 29-09 06:14:36| 61  12  27   0   0|1291M  371M  197M 5848M| 836k  814k|   0   409k|   0  40.1 |5281    12k|3.34 1.64 0.94|4.0   0 166|   0     0 |   0     0 |  9   35    0   51    0
Sep 29 06:14:37 ubuntu dstat.sh[108377]: 29-09 06:14:37| 65   9  24   0   0|1344M  318M  197M 5848M| 133k  121k|   0   272k|   0  21.0 |2227  3288 |3.34 1.64 0.94|5.0   0  37|   0     0 |   0     0 |  9   34    0   51    0
Sep 29 06:14:38 ubuntu dstat.sh[108377]: 29-09 06:14:38| 65  15  18   0   0|1267M  395M  197M 5849M| 705k  696k|8183B  404k|2.00  35.0 |4836    19k|3.39 1.68 0.95|5.0   0 227|   0     0 |   0     0 |  9   35    0   51    0
Sep 29 06:14:39 ubuntu dstat.sh[108377]: 29-09 06:14:39| 68   9  23   0   0|1349M  313M  197M 5849M| 588k  577k|   0   248k|   0  14.0 |3763  7002 |3.39 1.68 0.95|3.0   0 1.0|   0     0 |   0     0 |  9   36    0   52    0
Sep 29 06:14:40 ubuntu dstat.sh[108377]: 29-09 06:14:40| 59  11  29   0   0|1307M  355M  197M 5849M| 952k  943k|   0   120k|   0  13.0 |6717    13k|3.39 1.68 0.95|3.0   0  79|   0     0 |   0     0 |  9   35    0   54    0
Sep 29 06:14:41 ubuntu dstat.sh[108377]: 29-09 06:14:41| 46  12  42   0   0|1251M  411M  197M 5849M| 228k  219k|   0   332k|   0  28.0 |2814  5265 |3.39 1.68 0.95|2.0   0 158|   0     0 |   0     0 |  9   34    0   54    0
Sep 29 06:14:42 ubuntu dstat.sh[108377]: 29-09 06:14:42| 45   6  48   0   0|1302M  359M  197M 5849M| 277k  266k|   0   176k|   0  11.0 |2108  3815 |3.39 1.68 0.95|2.0   0   0|   0     0 |   0     0 |  9   36    0   53    0
Sep 29 06:14:43 ubuntu dstat.sh[108377]: 29-09 06:14:43| 47   7  46   0   0|1278M  383M  197M 5849M| 570k  560k|   0   347k|   0  33.0 |4147  7700 |3.28 1.68 0.96|2.0   0 8.0|   0     0 |   0     0 |  9   35    0   54    0
Sep 29 06:14:44 ubuntu dstat.sh[108377]: 29-09 06:14:44| 44   7  48   0   0|1267M  395M  197M 5849M| 272k  245k|   0   184k|   0  7.00 |2578  4483 |3.28 1.68 0.96|2.0   0  66|   0     0 |   0     0 |  9   34    0   56    0
Sep 29 06:14:45 ubuntu dstat.sh[108377]: 29-09 06:14:45| 45   6  49   0   0|1257M  404M  197M 5849M| 338k  326k|   0   256k|   0  19.0 |2956  6089 |3.28 1.68 0.96|2.0   0 5.0|   0     0 |   0     0 |  9   34    0   56    0
Sep 29 06:14:46 ubuntu dstat.sh[108377]: 29-09 06:14:46| 43   8  48   1   0|1242M  419M  197M 5849M| 241k  228k|   0   272k|   0  29.0 |2563  4643 |3.28 1.68 0.96|2.0   0  59|   0     0 |   0     0 |  9   34    0   55    0
Sep 29 06:14:47 ubuntu dstat.sh[108377]: 29-09 06:14:47| 43   9  47   1   0|1290M  370M  197M 5850M| 383k  369k|   0    10M|   0   394 |3731  6440 |3.28 1.68 0.96|2.0   0  37|   0     0 |   0     0 |  9   35    0   55    0
Sep 29 06:14:48 ubuntu dstat.sh[108377]: 29-09 06:14:48| 38  16  47   0   0|1255M  406M  197M 5850M| 316k  297k|   0   293k|   0  27.1 |2862  5710 |3.18 1.69 0.96|5.0   0 286|   0     0 |   0     0 |  9   35    0   53    0
Sep 29 06:14:49 ubuntu dstat.sh[108377]: 29-09 06:14:49| 43   8  48   0   0|1274M  387M  197M 5850M| 126k  114k|   0   232k|   0  19.0 |1927  2762 |3.18 1.69 0.96|3.0   0  33|   0     0 |   0     0 |  9   34    0   55    0
Sep 29 06:14:50 ubuntu dstat.sh[108377]: 29-09 06:14:50| 48   4  49   0   0|1306M  355M  197M 5850M| 411k  401k|   0   112k|   0  7.98 |2680  5474 |3.18 1.69 0.96|2.0   0   0|   0     0 |   0     0 |  9   35    0   54    0
Sep 29 06:14:51 ubuntu dstat.sh[108377]: 29-09 06:14:51| 45   7  48   0   0|1282M  378M  197M 5850M| 507k  496k|   0   152k|   0  9.02 |2529  6351 |3.18 1.69 0.96|2.0   0  47|   0     0 |   0     0 |  9   35    0   55    0
Sep 29 06:14:52 ubuntu dstat.sh[108377]: 29-09 06:14:52| 44   6  48   0   0|1281M  380M  197M 5850M| 153k  143k|   0    92k|   0  7.00 |1953  2848 |3.18 1.69 0.96|3.0   0  58|   0     0 |   0     0 |  9   35    0   55    0
Sep 29 06:14:53 ubuntu dstat.sh[108377]: 29-09 06:14:53| 48   4  48   0   0|1305M  355M  197M 5850M| 643k  630k|   0   124k|   0  12.0 |2911  7752 |3.08 1.69 0.97|3.0   0 2.0|   0     0 |   0     0 |  9   35    0   57    0
Sep 29 06:14:54 ubuntu dstat.sh[108377]: 29-09 06:14:54| 27  20  52   0   0|1214M  446M  197M 5850M| 146k  136k|   0   364k|   0  28.0 |3492  6040 |3.08 1.69 0.97|1.0   0 418|   0     0 |   0     0 |  9   34    0   57    0
Sep 29 06:14:55 ubuntu dstat.sh[108377]: 29-09 06:14:55| 23   2  74   0   0|1244M  417M  197M 5850M|  70k   56k|   0   108k|   0  8.00 |1381  1885 |3.08 1.69 0.97|3.0   0   0|   0     0 |   0     0 |  9   34    0   56    0
Sep 29 06:14:56 ubuntu dstat.sh[108377]: 29-09 06:14:56| 20   7  71   0   0|1199M  461M  197M 5850M| 175k  163k|   0  1052k|   0  65.0 |2674  4403 |3.08 1.69 0.97|3.0   0  95|   0     0 |   0     0 |  9   34    0   56    0
Sep 29 06:14:57 ubuntu dstat.sh[108377]: 29-09 06:14:57| 23   3  74   0   0|1242M  418M  197M 5850M|  15k 5857 |   0    52k|   0  7.00 |1231  1473 |3.08 1.69 0.97|1.0   0   0|   0     0 |   0     0 |  9   35    0   54    0
Sep 29 06:14:58 ubuntu dstat.sh[108377]: 29-09 06:14:58| 24   3  72   0   0|1242M  418M  197M 5850M| 425k  406k|   0   144k|   0  7.99 |3287  5828 |2.92 1.68 0.97|2.0   0   0|   0     0 |   0     0 |  9   35    0   54    0
Sep 29 06:14:59 ubuntu dstat.sh[108377]: 29-09 06:14:59| 22   4  73   0   0|1219M  441M  197M 5850M|  74k   65k|   0   200k|   0  20.0 |1572  2640 |2.92 1.68 0.97|1.0   0  32|   0     0 |   0     0 |  9   34    0   54    0
Sep 29 06:15:00 ubuntu dstat.sh[108377]: 29-09 06:15:00| 23   3  73   0   0|1243M  418M  197M 5850M| 136k  127k|   0   112k|   0  8.00 |1667  2552 |2.92 1.68 0.97|1.0   0   0|   0     0 |   0     0 |  9   35    0   54    0
Sep 29 06:15:01 ubuntu dstat.sh[108377]: 29-09 06:15:01| 22   4  72   0   1|1243M  417M  197M 5850M| 499k  491k|   0     0 |   0     0 |3357  7825 |2.92 1.68 0.97|1.0   0   0|   0     0 |   0     0 |  9   35    0   55    0
Sep 29 06:15:02 ubuntu dstat.sh[108377]: 29-09 06:15:02| 20   6  74   0   0|1216M  444M  197M 5850M|  21k   11k|   0     0 |   0     0 |1406  1654 |2.92 1.68 0.97|1.0   0  58|   0     0 |   0     0 |  9   34    0   55    0
Sep 29 06:15:03 ubuntu dstat.sh[108377]: 29-09 06:15:03| 24   4  73   0   0|1244M  416M  197M 5850M|  67k   58k|   0  4097B|   0  1.00 |1365  1800 |2.76 1.67 0.97|1.0   0 2.0|   0     0 |   0     0 |  9   34    0   53    0
Sep 29 06:15:04 ubuntu dstat.sh[108377]: 29-09 06:15:04| 18   8  72   0   0|1204M  456M  197M 5850M|  98k   89k|   0   332k|   0  28.0 |2093  3136 |2.76 1.67 0.97|1.0   0  93|   0     0 |   0     0 |  9   34    0   53    0
Sep 29 06:15:05 ubuntu dstat.sh[108377]: 29-09 06:15:05| 23   4  74   0   0|1243M  417M  197M 5850M|  66k   56k|   0     0 |   0     0 |1259  1730 |2.76 1.67 0.97|1.0   0   0|   0     0 |   0     0 |  9   34    0   45    0
Sep 29 06:15:06 ubuntu dstat.sh[108377]: 29-09 06:15:06| 20   8  71   1   0|1190M  470M  197M 5850M| 182k  172k|   0   677k|   0  56.0 |2716  4941 |2.76 1.67 0.97|1.0   0 100|   0     0 |   0     0 |  9   34    0   46    0
Sep 29 06:15:07 ubuntu dstat.sh[108377]: 29-09 06:15:07| 22   4  74   0   0|1240M  420M  197M 5850M|8878  1620 |   0    40k|   0  4.00 | 984  1240 |2.76 1.67 0.97|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   46    0
Sep 29 06:15:08 ubuntu dstat.sh[108377]: 29-09 06:15:08| 22   5  72   0   0|1183M  477M  197M 5850M| 232k  222k|   0   496k|   0  20.0 |2330  4290 |2.62 1.66 0.97|1.0   0  49|   0     0 |   0     0 |  9   34    0   46    0
Sep 29 06:15:09 ubuntu dstat.sh[108377]: 29-09 06:15:09| 20   4  74   0   0|1221M  439M  197M 5850M|  19k 1620 |   0   116k|   0  8.00 |1355  1572 |2.62 1.66 0.97|1.0   0  46|   0     0 |   0     0 |  9   34    0   41    0
Sep 29 06:15:10 ubuntu dstat.sh[108377]: 29-09 06:15:10| 23   3  73   0   0|1243M  417M  197M 5851M| 173k  164k|   0    52k|   0  6.01 |1837  3279 |2.62 1.66 0.97|1.0   0   0|   0     0 |   0     0 |  9   35    0   41    0
Sep 29 06:15:11 ubuntu dstat.sh[108377]: 29-09 06:15:11| 22   4  72   0   0|1188M  471M  197M 5851M| 319k  309k|   0   100k|   0  12.0 |3010  5932 |2.62 1.66 0.97|2.0   0  31|   0     0 |   0     0 |  9   34    0   40    0
Sep 29 06:15:12 ubuntu dstat.sh[108377]: 29-09 06:15:12| 23   4  74   0   0|1239M  421M  197M 5851M|  11k 1620 |   0   108k|   0  6.00 |1115  1256 |2.62 1.66 0.97|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   40    0
Sep 29 06:15:13 ubuntu dstat.sh[108377]: 29-09 06:15:13| 23   3  72   0   0|1243M  416M  197M 5851M| 373k  365k|   0   156k|   0  14.0 |2607  5911 |2.49 1.65 0.97|1.0   0 2.0|   0     0 |   0     0 |  9   35    0   40    0
Sep 29 06:15:14 ubuntu dstat.sh[108377]: 29-09 06:15:14| 19   9  71   0   0|1183M  477M  197M 5851M| 267k  259k|   0   112k|   0  7.00 |2645  4677 |2.49 1.65 0.97|1.0   0 107|   0     0 |   0     0 |  9   34    0   40    0
Sep 29 06:15:15 ubuntu dstat.sh[108377]: 29-09 06:15:15| 21  19  53   7   1|1229M  427M  197M 5854M|  23k   13k|3474k  400k|66.0  25.0 |2526  3799 |2.49 1.65 0.97|2.0   0 301|   0     0 |   0     0 |  9   34    0   40    0
Sep 29 06:15:16 ubuntu dstat.sh[108377]: 29-09 06:15:16| 40   5  49   5   0|1315M  340M  197M 5855M|  11k 1620 | 272k  636k|18.0  22.0 |1368  1706 |2.49 1.65 0.97|2.0   0 1.0|   0     0 |   0     0 |  9   34    0   40    0
Sep 29 06:15:17 ubuntu dstat.sh[108377]: 29-09 06:15:17| 23   5  53  20   0|1346M  306M  197M 5857M|  30k   19k|1248k 5325k|40.0   460 |3948  7399 |2.49 1.65 0.97|2.0   0  25|   0     0 |   0     0 |  9   38    0   38    0
Sep 29 06:15:18 ubuntu dstat.sh[108377]: 29-09 06:15:18| 28   6  44  21   0|1365M  285M  198M 5859M|  17k 6372 |   0    16M|   0  1228 |6053    11k|2.53 1.67 0.98|2.0 1.0  33|   0     0 |   0     0 |  9   38    0   38    0
Sep 29 06:15:19 ubuntu dstat.sh[108377]: 29-09 06:15:19| 28   6  44  21   0|1329M  319M  198M 5861M|  27k 8197 |  76k   13M|1.00  1072 |5636    11k|2.53 1.67 0.98|1.0 1.0  23|   0     0 |   0     0 |  9   38    0   38    0
Sep 29 06:15:20 ubuntu dstat.sh[108377]: 29-09 06:15:20| 29   6  43  21   0|1367M  281M  198M 5862M|  19k 6149 |   0    11M|   0   905 |5286    10k|2.53 1.67 0.98|2.0   0  28|   0     0 |   0     0 |  9   38    0   38    0
Sep 29 06:15:21 ubuntu dstat.sh[108377]: 29-09 06:15:21| 31   5  43  19   0|1335M  311M  198M 5863M|  21k 7514 |   0    11M|   0   942 |5611    11k|2.53 1.67 0.98|3.0   0  29|   0     0 |   0     0 |  9   38    0   33    0
Sep 29 06:15:22 ubuntu dstat.sh[108377]: 29-09 06:15:22| 34   6  40  19   0|1368M  278M  198M 5863M|  27k   14k|   0    20M|   0  1458 |7097    14k|2.53 1.67 0.98|2.0   0  10|   0     0 |   0     0 |  9   38    0   33    0
Sep 29 06:15:23 ubuntu dstat.sh[108377]: 29-09 06:15:23| 36   7  43  13   0|1259M  387M  198M 5863M|  27k   15k|   0  8336k|   0   754 |4914  9535 |2.49 1.68 0.99|4.0   0 9.0|   0     0 |   0     0 |  9   34    0   32    0
Sep 29 06:15:24 ubuntu dstat.sh[108377]: 29-09 06:15:24| 45   7  49   0   0|1346M  300M  198M 5863M|  16k 3602 |   0   969k|   0   115 |1653  1671 |2.49 1.68 0.99|2.0   0 7.0|   0     0 |   0     0 |  9   34    0   32    0
Sep 29 06:15:25 ubuntu dstat.sh[108377]: 29-09 06:15:25| 41   6  46   6   0|1301M  344M  198M 5863M|  95k   84k|   0  5674k|   0   588 |4209  7632 |2.49 1.68 0.99|1.0 1.0 3.0|   0     0 |   0     0 |  9   36    0   31    0
Sep 29 06:15:26 ubuntu dstat.sh[108377]: 29-09 06:15:26| 35   8  43  12   0|1354M  291M  199M 5863M| 261k  251k|   0    10M|   0  1611 |  10k   20k|2.49 1.68 0.99|2.0   0 1.0|   0     0 |   0     0 |  9   36    0   31    0
Sep 29 06:15:27 ubuntu dstat.sh[108377]: 29-09 06:15:27| 36  10  48   5   0|1212M  432M  199M 5864M| 110k  102k|   0  5056k|   0   643 |4888  9213 |2.49 1.68 0.99|1.0   0  99|   0     0 |   0     0 |  9   34    0   29    0
Sep 29 06:15:28 ubuntu dstat.sh[108377]: 29-09 06:15:28| 23   3  74   0   0|1265M  379M  199M 5864M|  12k 1620 |   0   768k|   0  44.0 |1254  1674 |2.37 1.66 0.99|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   29    0
Sep 29 06:15:29 ubuntu dstat.sh[108377]: 29-09 06:15:29| 23   3  73   1   0|1300M  344M  199M 5863M|  10k 1620 |   0  6926k|   0   350 |1824  2750 |2.37 1.66 0.99|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   28    0
Sep 29 06:15:30 ubuntu dstat.sh[108377]: 29-09 06:15:30| 22   4  73   0   0|1256M  388M  199M 5864M|  12k 1615 |   0   356k|   0  22.0 |1093  1197 |2.37 1.66 0.99|1.0   0 2.0|   0     0 |   0     0 |  9   34    0   28    0
Sep 29 06:15:31 ubuntu dstat.sh[108377]: 29-09 06:15:31| 24   3  74   0   0|1301M  343M  199M 5864M|  13k 1620 |   0     0 |   0     0 |1045  1162 |2.37 1.66 0.99|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   27    0
Sep 29 06:15:32 ubuntu dstat.sh[108377]: 29-09 06:15:32| 23   3  74   0   1|1241M  403M  199M 5864M|  21k 1623 |   0     0 |   0     0 |1096  1137 |2.37 1.66 0.99|1.0   0 2.0|   0     0 |   0     0 |  9   34    0   27    0
Sep 29 06:15:33 ubuntu dstat.sh[108377]: 29-09 06:15:33| 21   4  73   0   0|1292M  352M  199M 5864M|  17k 1660 |   0  4092B|   0  1.00 |1189  1210 |2.26 1.65 0.99|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   25    0
Sep 29 06:15:34 ubuntu dstat.sh[108377]: 29-09 06:15:34| 22   4  74   0   0|1219M  425M  199M 5864M|  15k 1619 |   0     0 |   0     0 |1106  1169 |2.26 1.65 0.99|1.0   0 4.0|   0     0 |   0     0 |  9   34    0   25    0
Sep 29 06:15:35 ubuntu dstat.sh[108377]: 29-09 06:15:35| 22   4  73   0   0|1249M  395M  199M 5864M|  13k 1565 |   0   264k|   0  12.0 |1207  1381 |2.26 1.65 0.99|1.0   0 2.0|   0     0 |   0     0 |  9   34    0   25    0
Sep 29 06:15:36 ubuntu dstat.sh[108377]: 29-09 06:15:36| 22   4  74   1   0|1298M  345M  199M 5864M|  10k 1621 |   0   292k|   0  19.0 |1149  1306 |2.26 1.65 0.99|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   24    0
Sep 29 06:15:37 ubuntu dstat.sh[108377]: 29-09 06:15:37| 23   3  73   0   0|1243M  400M  199M 5864M|  24k 1619 |   0    88k|   0  4.00 |1103  1153 |2.26 1.65 0.99|1.0   0 2.0|   0     0 |   0     0 |  9   34    0   24    0
Sep 29 06:15:38 ubuntu dstat.sh[108377]: 29-09 06:15:38| 29   7  64   0   0|1224M  420M  199M 5864M|  13k 2763 |   0     0 |   0     0 |1704  5312 |2.24 1.66 1.00|1.0   0  36|   0     0 |   0     0 |  9   34    0   23    0
Sep 29 06:15:39 ubuntu dstat.sh[108377]: 29-09 06:15:39| 22   4  74   0   0|1285M  359M  199M 5864M|  13k 1512 |   0    12k|   0  2.00 |1136  1131 |2.24 1.66 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   23    0
Sep 29 06:15:40 ubuntu dstat.sh[108377]: 29-09 06:15:40| 18   7  73   0   0|1201M  442M  199M 5864M|  12k 1620 | 152k    0 |3.00     0 |1595  2128 |2.24 1.66 1.00|2.0   0 121|   0     0 |   0     0 |  9   34    0   21    0
Sep 29 06:15:41 ubuntu dstat.sh[108377]: 29-09 06:15:41| 10  20  69   0   0|1201M  443M  199M 5864M|  13k 1620 |   0   792k|   0  9.00 |2832  4354 |2.24 1.66 1.00|2.0   0 423|   0     0 |   0     0 |  9   34    0   21    0
Sep 29 06:15:42 ubuntu dstat.sh[108377]: 29-09 06:15:42|  8  17  70   3   0|1201M  442M  199M 5864M|  13k 1620 | 292k  384k|10.0  9.00 |2505  3794 |2.24 1.66 1.00|1.0   0 305|   0     0 |   0     0 |  9   34    0   16    0
Sep 29 06:15:43 ubuntu dstat.sh[108377]: 29-09 06:15:43|  9  19  70   0   0|1201M  442M  199M 5864M|  13k 1620 |   0    88k|   0  1.00 |2691  4147 |2.14 1.65 1.00|1.0   0 360|   0     0 |   0     0 |  9   34    0   16    0
Sep 29 06:15:44 ubuntu dstat.sh[108377]: 29-09 06:15:44| 20   7  73   0   0|1248M  394M  199M 5864M|  18k 1623 |   0     0 |   0     0 |1580  1875 |2.14 1.65 1.00|1.0   0  82|   0     0 |   0     0 |  9   34    0   13    0
Sep 29 06:15:45 ubuntu dstat.sh[108377]: 29-09 06:15:45| 22   4  73   1   0|1287M  356M  199M 5864M|  14k 1723 |   0   176k|   0  8.99 |1216  1422 |2.14 1.65 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   13    0
Sep 29 06:15:46 ubuntu dstat.sh[108377]: 29-09 06:15:46| 23   4  71   1   0|1217M  426M  199M 5864M|  11k 1565 |   0  5113k|   0   267 |1804  2625 |2.14 1.65 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   12    0
Sep 29 06:15:47 ubuntu dstat.sh[108377]: 29-09 06:15:47| 21   5  73   0   0|1271M  372M  199M 5864M|  17k 1620 |   0     0 |   0     0 |1104  1197 |2.14 1.65 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   12    0
Sep 29 06:15:48 ubuntu dstat.sh[108377]: 29-09 06:15:48| 23   3  74   0   0|1298M  344M  199M 5864M|  13k 1616 |   0    16k|   0  1.00 |1095  1190 |2.05 1.64 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   12    0
Sep 29 06:15:49 ubuntu dstat.sh[108377]: 29-09 06:15:49| 22   3  73   1   0|1257M  386M  199M 5864M|  13k 1620 |   0  3164k|   0   243 |1500  1152 |2.05 1.64 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0   12    0
Sep 29 06:15:50 ubuntu dstat.sh[108377]: 29-09 06:15:50| 22   5  74   0   0|1300M  343M  199M 5864M|  11k 1662 |   0    12k|   0  1.00 |1029  1117 |2.05 1.64 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0   10    0
Sep 29 06:15:51 ubuntu dstat.sh[108377]: 29-09 06:15:51| 22   3  74   0   0|1243M  399M  199M 5864M|  13k 1620 |   0   188k|   0  2.00 |1040  1163 |2.05 1.64 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0   10    0
Sep 29 06:15:52 ubuntu dstat.sh[108377]: 29-09 06:15:52| 23   3  74   0   0|1292M  350M  199M 5864M|  12k 1620 |   0     0 |   0     0 |1039  1164 |2.05 1.64 1.00|1.0   0 1.0|   0     0 |   0     0 |  9   34    0    8    0
Sep 29 06:15:53 ubuntu dstat.sh[108377]: 29-09 06:15:53| 23   3  74   0   0|1228M  414M  199M 5864M|  12k 1622 |   0    12k|   0  1.00 |1062  1139 |1.96 1.63 1.00|1.0   0 2.0|   0     0 |   0     0 |  9   34    0    8    0
Sep 29 06:15:54 ubuntu dstat.sh[108377]: 29-09 06:15:54| 23   3  73   0   0|1276M  367M  199M 5864M|  20k 1618 |   0     0 |   0     0 |1043  1155 |1.96 1.63 1.00|1.0   0 3.0|   0     0 |   0     0 |  9   34    0    6    0
Sep 29 06:15:55 ubuntu dstat.sh[108377]: 29-09 06:15:55| 22   3  74   0   0|1299M  344M  199M 5864M|9455  1619 |   0    72k|   0  3.00 | 977  1207 |1.96 1.63 1.00|2.0 1.0   0|   0     0 |   0     0 |  9   34    0    6    0
