-- Logs begin at Mon 2022-12-12 19:29:47 UTC, end at Wed 2022-12-14 10:41:50 UTC. --
Dec 14 10:01:47 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Dec 14 10:01:48 ubuntu dstat.sh[83142]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 14 10:01:48 ubuntu dstat.sh[83142]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 14 10:12:06 ubuntu dstat.sh[83142]: 14-12 10:12:06| 30   5  64   0   0|5213M  147M  180M 2309M|  17k 1900 |   0  1291k|   0  13.0 |1931  2741 |1.45 1.79 1.29|1.0   0 5.0|   0     0 |   0     0 | 25  293    0   16    0
Dec 14 10:12:07 ubuntu dstat.sh[83142]: 14-12 10:12:07| 26   8  64   0   0|5229M  130M  180M 2309M|  17k   11k|   0  1105k|   0  59.1 |  11k   22k|1.45 1.79 1.29|2.0   0  15|   0     0 |   0     0 | 25  293    0   16    0
Dec 14 10:12:08 ubuntu dstat.sh[83142]: 14-12 10:12:08| 39   8  51   2   0|5209M  152M  180M 2308M|  15k 8079 |   0  5739k|   0   219 |2503  3293 |1.45 1.79 1.29|2.0 2.0 6.0|   0     0 |   0     0 | 25  293    0   16    0
Dec 14 10:12:09 ubuntu dstat.sh[83142]: 14-12 10:12:09| 42  11  47   1   0|5188M  173M  180M 2308M|  15k 8310 | 268k 1922k|3.00   269 |3096  4455 |1.45 1.79 1.29|3.0   0  50|   0     0 |   0     0 | 25  293    0   14    0
Dec 14 10:12:10 ubuntu dstat.sh[83142]: 14-12 10:12:10| 44  10  44   0   0|5196M  164M  180M 2308M|  11k 1958 | 256k   92k|2.00  4.00 |8987    19k|1.45 1.79 1.29|3.0   0  13|   0     0 |   0     0 | 25  293    0   14    0
Dec 14 10:12:11 ubuntu dstat.sh[83142]: 14-12 10:12:11| 43   9  46   0   0|5207M  153M  180M 2308M|  23k   14k| 256k  260k|2.00  24.0 |2473  3423 |1.49 1.79 1.30|4.0   0  14|   0     0 |   0     0 | 25  293    0   14    0
Dec 14 10:12:12 ubuntu dstat.sh[83142]: 14-12 10:12:12| 38   3  58   0   0|5196M  164M  180M 2308M|  24k   17k| 256k  476k|2.00  32.0 |2245  3363 |1.49 1.79 1.30|1.0   0 2.0|   0     0 |   0     0 | 25  293    0   14    0
Dec 14 10:12:13 ubuntu dstat.sh[83142]: 14-12 10:12:13| 22   6  70   0   1|5158M  202M  180M 2308M|  10k 3595 |   0  4084B|   0  1.00 |2359  3465 |1.49 1.79 1.30|1.0   0  91|   0     0 |   0     0 | 25  293    0   11    0
Dec 14 10:12:14 ubuntu dstat.sh[83142]: 14-12 10:12:14| 26   6  68   0   0|5183M  170M  181M 2316M|  14k 8682 |   0   344k|   0  28.0 |8928    19k|1.49 1.79 1.30|1.0   0 8.0|   0     0 |   0     0 | 25  293    0   11    0
Dec 14 10:12:15 ubuntu dstat.sh[83142]: 14-12 10:12:15| 23   6  69   0   0|5187M  157M  181M 2324M|  28k   23k|   0  1253k|   0  40.0 |2431  3301 |1.49 1.79 1.30|1.0   0 2.0|   0     0 |   0     0 | 25  293    0    9    0
Dec 14 10:12:16 ubuntu dstat.sh[83142]: 14-12 10:12:16| 28   4  67   0   0|5193M  150M  181M 2324M| 105k  101k|   0   773k|   0  9.01 |2997  5470 |1.45 1.78 1.30|  0   0 4.0|   0     0 |   0     0 | 25  293    1   11    0
Dec 14 10:12:17 ubuntu dstat.sh[83142]: 14-12 10:12:17|  5   1  93   0   0|5193M  150M  181M 2325M|  16k   11k|   0   259k|   0  20.0 |1928  3181 |1.45 1.78 1.30|  0   0 2.0|   0     0 |   0     0 | 25  294    0   10    0
Dec 14 10:12:18 ubuntu dstat.sh[83142]: 14-12 10:12:18|  5   1  91   1   0|5195M  148M  181M 2325M|  25k 9343 |   0   360k|   0  26.0 |1906  3107 |1.45 1.78 1.30|  0   0   0|   0     0 |   0     0 | 25  294    0   10    0
Dec 14 10:12:19 ubuntu dstat.sh[83142]: 14-12 10:12:19|  6   2  90   0   0|5196M  147M  181M 2325M|  16k 9770 |   0   765k|   0  42.1 |1888  2899 |1.45 1.78 1.30|  0   0   0|   0     0 |   0     0 | 25  294    0    8    0
Dec 14 10:12:20 ubuntu dstat.sh[83142]: 14-12 10:12:20| 14   2  84   0   0|5200M  137M  181M 2331M|  13k 3644 |   0   312k|   0  6.00 |1694  2641 |1.45 1.78 1.30|  0   0   0|   0     0 |   0     0 | 25  294    0    8    0
Dec 14 10:12:21 ubuntu dstat.sh[83142]: 14-12 10:12:21|  9   1  88   0   0|5200M  137M  181M 2331M|  24k   19k|   0   648k|   0  48.0 |2127  3527 |1.34 1.75 1.29|  0   0   0|   0     0 |   0     0 | 25  294    0    8    0
Dec 14 10:12:22 ubuntu dstat.sh[83142]: 14-12 10:12:22|  8   1  90   0   0|5201M  136M  181M 2331M|  19k   13k|   0   836k|   0  44.0 |1906  3180 |1.34 1.75 1.29|  0   0   0|   0     0 |   0     0 | 25  294    0    9    0
Dec 14 10:12:23 ubuntu dstat.sh[83142]: 14-12 10:12:23|  6   1  90   0   0|5204M  131M  181M 2332M|  11k 4452 |   0   284k|   0  9.00 |1725  2702 |1.34 1.75 1.29|  0   0   0|   0     0 |   0     0 | 25  294    0    7    0
Dec 14 10:12:24 ubuntu dstat.sh[83142]: 14-12 10:12:24|  9   1  88   1   1|5208M  127M  181M 2333M|  30k   24k|   0   564k|   0  31.0 |2003  3265 |1.34 1.75 1.29|  0   0 1.0|   0     0 |   0     0 | 25  294    0    7    0
Dec 14 10:12:25 ubuntu dstat.sh[83142]: 14-12 10:12:25|  6   1  91   0   0|5209M  126M  181M 2333M|  32k 8373 |   0   536k|   0  29.0 |2160  3185 |1.34 1.75 1.29|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:26 ubuntu dstat.sh[83142]: 14-12 10:12:26|  3   2  93   1   0|5209M  126M  181M 2333M|  16k 4481 |   0   244k|   0  17.0 |1688  2765 |1.23 1.72 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:27 ubuntu dstat.sh[83142]: 14-12 10:12:27|  5   1  93   0   0|5209M  126M  181M 2333M|  47k   11k|   0   456k|   0  35.0 |2023  3239 |1.23 1.72 1.28|  0   0 3.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:28 ubuntu dstat.sh[83142]: 14-12 10:12:28|  5   0  93   0   0|5209M  126M  181M 2333M| 113k 9550 |   0    92k|   0  14.0 |1930  3127 |1.23 1.72 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:29 ubuntu dstat.sh[83142]: 14-12 10:12:29|  5   1  93   1   0|5209M  125M  181M 2334M| 414k   10k|   0    20M|   0  65.0 |2008  2839 |1.23 1.72 1.28|1.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:30 ubuntu dstat.sh[83142]: 14-12 10:12:30|  8   4  86   0   0|5211M  160M  177M 2304M| 570k 4192 |   0    80k|   0  5.00 |2133  2702 |1.23 1.72 1.28|  0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:31 ubuntu dstat.sh[83142]: 14-12 10:12:31|  5   2  91   1   1|5211M  159M  177M 2304M| 125k   17k|   0  1574k|   0  36.0 |2128  3504 |1.13 1.69 1.27|  0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:32 ubuntu dstat.sh[83142]: 14-12 10:12:32|  8   3  88   0   0|5222M  148M  177M 2305M| 350k   12k|   0   671k|   0  39.0 |2369  3640 |1.13 1.69 1.27|2.0   0  24|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:33 ubuntu dstat.sh[83142]: 14-12 10:12:33|  3   1  93   0   0|5222M  146M  177M 2306M| 770k 6881 |   0     0 |   0     0 |2068  2788 |1.13 1.69 1.27|4.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:34 ubuntu dstat.sh[83142]: 14-12 10:12:34|  6   3  89   1   0|5222M  145M  177M 2307M| 654k   26k|   0    41M|   0   134 |2475  3385 |1.13 1.69 1.27|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:35 ubuntu dstat.sh[83142]: 14-12 10:12:35|  6   2  90   0   0|5213M  153M  177M 2309M| 774k   17k|   0  1134k|   0  36.9 |2707  3545 |1.13 1.69 1.27|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:36 ubuntu dstat.sh[83142]: 14-12 10:12:36|  6   3  90   1   0|5234M  130M  177M 2310M| 767k 9543 |   0  3242k|   0  14.0 |2166  2926 |1.20 1.69 1.28|2.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:37 ubuntu dstat.sh[83142]: 14-12 10:12:37| 13   3  83   0   0|5212M  259M  176M 2209M|  30k   13k|4096B 1044k|1.00  61.0 |2164  3358 |1.20 1.69 1.28|2.0   0 2.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:38 ubuntu dstat.sh[83142]: 14-12 10:12:38|  8   2  89   0   0|5211M  259M  176M 2209M|  15k   10k|   0   416k|   0  27.0 |1890  3115 |1.20 1.69 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:39 ubuntu dstat.sh[83142]: 14-12 10:12:39|  9   1  88   2   0|5212M  259M  177M 2209M|  19k 5477 |   0  7853k|   0   499 |2676  2998 |1.20 1.69 1.28|1.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:40 ubuntu dstat.sh[83142]: 14-12 10:12:40|  8   1  90   0   0|5212M  257M  177M 2210M|9710  5103 |   0   316k|   0  8.99 |1669  2590 |1.20 1.69 1.28|1.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:41 ubuntu dstat.sh[83142]: 14-12 10:12:41| 14   1  84   0   0|5215M  254M  177M 2211M|  21k   15k|   0   576k|   0  30.0 |1998  3221 |1.18 1.68 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:42 ubuntu dstat.sh[83142]: 14-12 10:12:42|  7   1  89   1   0|5215M  253M  177M 2211M|  16k   11k|   0   728k|   0  46.0 |1963  3146 |1.18 1.68 1.28|1.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:43 ubuntu dstat.sh[83142]: 14-12 10:12:43|  7   1  91   0   0|5216M  252M  177M 2211M|  12k 6315 |   0   324k|   0  9.00 |1754  2566 |1.18 1.68 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:44 ubuntu dstat.sh[83142]: 14-12 10:12:44| 17   5  77   1   0|5217M  251M  177M 2212M|  19k   14k|   0   556k|   0  41.0 |2880  6850 |1.18 1.68 1.28|1.0   0  34|   0     0 |   0     0 | 25  295    0    8    0
Dec 14 10:12:45 ubuntu dstat.sh[83142]: 14-12 10:12:45|  8   1  88   1   0|5219M  248M  177M 2212M|  18k   11k|   0   636k|   0  39.0 |2204  3177 |1.18 1.68 1.28|1.0   0   0|   0     0 |   0     0 | 25  295    0    8    0
Dec 14 10:12:46 ubuntu dstat.sh[83142]: 14-12 10:12:46| 11   1  86   0   0|5220M  247M  177M 2212M|  18k   11k|   0   580k|   0  25.0 |1930  2983 |1.09 1.65 1.27|1.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:47 ubuntu dstat.sh[83142]: 14-12 10:12:47| 10   1  86   1   0|5221M  246M  177M 2213M|  17k   14k|   0   520k|   0  34.0 |2041  3238 |1.09 1.65 1.27|  0   0 2.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:48 ubuntu dstat.sh[83142]: 14-12 10:12:48|  8   1  88   0   0|5222M  243M  177M 2213M| 538k   14k|   0   344k|   0  15.0 |2193  3166 |1.09 1.65 1.27|  0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:49 ubuntu dstat.sh[83142]: 14-12 10:12:49|  8   2  88   1   0|5224M  242M  177M 2214M| 252k   10k|   0    19M|   0   121 |2014  2945 |1.09 1.65 1.27|  0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:50 ubuntu dstat.sh[83142]: 14-12 10:12:50|  5   1  93   1   0|5223M  242M  177M 2214M| 110k 5368 |   0   384k|   0  9.00 |1595  2537 |1.09 1.65 1.27|  0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:51 ubuntu dstat.sh[83142]: 14-12 10:12:51|  5   1  92   1   1|5223M  242M  177M 2214M| 129k   17k|   0   720k|   0  33.0 |1996  3240 |1.24 1.68 1.28|1.0 1.0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:52 ubuntu dstat.sh[83142]: 14-12 10:12:52|  6   1  90   0   0|5223M  240M  177M 2216M| 610k   17k|   0  1103k|   0  40.0 |2200  3205 |1.24 1.68 1.28|  0   0 1.0|   0     0 |   0     0 | 25  295    0    8    0
Dec 14 10:12:53 ubuntu dstat.sh[83142]: 14-12 10:12:53|  5   1  93   0   0|5223M  240M  177M 2216M|  32k 4835 |   0   340k|   0  9.00 |1692  2574 |1.24 1.68 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    8    0
Dec 14 10:12:54 ubuntu dstat.sh[83142]: 14-12 10:12:54|  4   1  92   0   0|5223M  239M  177M 2216M| 518k   17k|   0   368k|   0  18.0 |2147  3155 |1.24 1.68 1.28|  0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:55 ubuntu dstat.sh[83142]: 14-12 10:12:55|  4   1  92   0   0|5223M  237M  177M 2218M|1050k   16k|   0  7704k|   0  33.0 |2639  3273 |1.24 1.68 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:56 ubuntu dstat.sh[83142]: 14-12 10:12:56|  3   1  93   0   0|5223M  235M  177M 2220M|1110k   11k|   0    56k|   0  5.99 |2094  2763 |1.22 1.66 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:57 ubuntu dstat.sh[83142]: 14-12 10:12:57|  5   2  91   1   1|5224M  233M  177M 2223M|1189k   19k|   0   529k|   0  43.1 |2446  3248 |1.22 1.66 1.28|  0   0 2.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:58 ubuntu dstat.sh[83142]: 14-12 10:12:58|  4   1  91   0   0|5224M  230M  177M 2225M|1244k   16k|   0    88k|   0  12.0 |2413  3173 |1.22 1.66 1.28|3.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:12:59 ubuntu dstat.sh[83142]: 14-12 10:12:59|  4   1  93   0   0|5224M  228M  177M 2227M|1299k 8582 |   0   248k|   0  16.0 |2177  2717 |1.22 1.66 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:00 ubuntu dstat.sh[83142]: 14-12 10:13:00|  5   1  93   0   0|5224M  225M  177M 2230M|1366k   12k|   0  1093k|   0  3.00 |2144  2641 |1.22 1.66 1.28|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:01 ubuntu dstat.sh[83142]: 14-12 10:13:01|  7   2  89   1   0|5224M  223M  177M 2233M|1474k   29k|   0   312k|   0  41.0 |2740  3541 |1.45 1.70 1.29|  0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:02 ubuntu dstat.sh[83142]: 14-12 10:13:02|  6   2  89   1   0|5224M  220M  177M 2234M| 663k   14k|   0  9991k|   0  63.0 |2237  3182 |1.45 1.70 1.29|1.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:03 ubuntu dstat.sh[83142]: 14-12 10:13:03|  4   1  92   1   0|5224M  220M  177M 2234M| 213k 6692 |   0   527k|   0  8.98 |1746  2694 |1.45 1.70 1.29|  0   0 2.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:04 ubuntu dstat.sh[83142]: 14-12 10:13:04|  6   3  89   1   0|5225M  217M  177M 2236M|1167k   25k|   0  1594k|   0  26.0 |2580  3196 |1.45 1.70 1.29|  0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:05 ubuntu dstat.sh[83142]: 14-12 10:13:05| 13   1  81   3   0|5230M  212M  177M 2237M| 215k  121k|  16k 4018k|3.01  66.2 |2837  4251 |1.45 1.70 1.29|1.0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:06 ubuntu dstat.sh[83142]: 14-12 10:13:06| 19   2  78   1   0|5230M  211M  178M 2237M| 289k  152k|   0   728k|   0  42.0 |2465  3999 |1.33 1.68 1.28|  0   0 1.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:07 ubuntu dstat.sh[83142]: 14-12 10:13:07| 15   5  78   1   0|5241M  200M  178M 2238M|  91k   14k|   0   632k|   0  31.0 |2448  3425 |1.33 1.68 1.28|2.0   0 6.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:08 ubuntu dstat.sh[83142]: 14-12 10:13:08| 28   5  63   1   0|5292M  149M  178M 2237M|  23k 9098 |   0   469k|   0  28.0 |2542  3563 |1.33 1.68 1.28|2.0   0 3.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:09 ubuntu dstat.sh[83142]: 14-12 10:13:09| 44   5  51   0   0|5275M  165M  178M 2238M|7350  1689 | 513k 1182k|4.01  58.1 |2220  2844 |1.33 1.68 1.28|2.0   0 5.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:10 ubuntu dstat.sh[83142]: 14-12 10:13:10| 38   8  47   6   0|5272M  154M  178M 2252M|  15k 1954 | 256k 5210k|2.00   464 |2640  3121 |1.33 1.68 1.28|5.0   0 4.0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:11 ubuntu dstat.sh[83142]: 14-12 10:13:11| 34  10  49   5   0|5237M  174M  181M 2264M|  30k   24k| 256k 4586k|2.00   120 |2690  3809 |1.46 1.70 1.29|2.0   0 4.0|   0     0 |   0     0 | 25  295    0    8    0
Dec 14 10:13:12 ubuntu dstat.sh[83142]: 14-12 10:13:12| 23   6  69   0   0|5244M  162M  181M 2269M|  19k   10k|   0  1223k|   0  51.9 |2127  3214 |1.46 1.70 1.29|1.0 1.0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:13 ubuntu dstat.sh[83142]: 14-12 10:13:13| 19   5  71   4   0|5244M  153M  182M 2276M|9545  3503 |   0  1592k|   0  55.0 |2027  2924 |1.46 1.70 1.29|2.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:14 ubuntu dstat.sh[83142]: 14-12 10:13:14| 21   6  70   2   0|5245M  127M  181M 2304M|  19k   10k|   0  1140k|   0  62.0 |2315  3501 |1.46 1.70 1.29|1.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:15 ubuntu dstat.sh[83142]: 14-12 10:13:15| 22   4  69   4   0|5245M  118M  182M 2312M|  19k   12k|   0  5466k|   0   130 |2771  3853 |1.46 1.70 1.29|2.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:16 ubuntu dstat.sh[83142]: 14-12 10:13:16| 25   4  67   2   0|5247M  123M  181M 2308M|  28k   21k|   0  1412k|   0  53.9 |2360  3450 |1.43 1.69 1.29|2.0   0 3.0|   0     0 |   0     0 | 25  295    0    5    0
Dec 14 10:13:17 ubuntu dstat.sh[83142]: 14-12 10:13:17| 24   4  69   2   0|5249M  134M  181M 2297M|  16k   10k|4097B 2052k|1.00  52.0 |2174  3120 |1.43 1.69 1.29|1.0   0 2.0|   0     0 |   0     0 | 25  295    0    5    0
Dec 14 10:13:18 ubuntu dstat.sh[83142]: 14-12 10:13:18| 26   6  63   3   0|5244M  117M  181M 2318M| 113k  106k|  16k 2203k|4.00  94.9 |3584  6029 |1.43 1.69 1.29|1.0   0   0|   0     0 |   0     0 | 25  295    0    7    0
Dec 14 10:13:19 ubuntu dstat.sh[83142]: 14-12 10:13:19|  7   3  87   2   0|5248M  132M  180M 2301M|  16k 5231 |  12k  876k|2.00  20.0 |1868  2881 |1.43 1.69 1.29|2.0   0 1.0|   0     0 |   0     0 | 25  296    0    7    0
Dec 14 10:13:20 ubuntu dstat.sh[83142]: 14-12 10:13:20|  4   1  93   0   1|5248M  132M  180M 2301M|  21k 3693 |   0  1732k|   0  20.0 |1718  2685 |1.43 1.69 1.29|2.0   0   0|   0     0 |   0     0 | 25  296    0    7    0
Dec 14 10:13:21 ubuntu dstat.sh[83142]: 14-12 10:13:21| 24   4  70   1   0|5203M  205M  180M 2273M|  20k   13k|  36k  876k|7.00  50.0 |2202  3273 |1.47 1.69 1.30|1.0   0 3.0|   0     0 |   0     0 | 25  293    0    7    0
Dec 14 10:13:22 ubuntu dstat.sh[83142]: 14-12 10:13:22| 24   5  69   1   0|5232M  173M  181M 2276M|  17k 9725 |  12k 1251k|1.00  32.1 |2157  3156 |1.47 1.69 1.30|2.0   0 6.0|   0     0 |   0     0 | 25  293    0    7    0
Dec 14 10:13:23 ubuntu dstat.sh[83142]: 14-12 10:13:23| 22   7  67   2   0|5243M  163M  181M 2276M|  15k 8656 |  92k    0 |3.00     0 |6733    15k|1.47 1.69 1.30|3.0   0  12|   0     0 |   0     0 | 25  293    0    7    0
Dec 14 10:13:24 ubuntu dstat.sh[83142]: 14-12 10:13:24| 25   3  71   0   0|5205M  200M  181M 2276M|  14k 7794 |   0  2086k|   0  19.0 |1936  2847 |1.47 1.69 1.30|1.0   0   0|   0     0 |   0     0 | 25  293    0    7    0
Dec 14 10:13:25 ubuntu dstat.sh[83142]: 14-12 10:13:25| 27   6  67   0   0|5244M  161M  181M 2276M|  12k 7157 |   0   840k|   0  28.0 |6109    13k|1.47 1.69 1.30|2.0   0 6.0|   0     0 |   0     0 | 25  293    0    7    0
Dec 14 10:13:26 ubuntu dstat.sh[83142]: 14-12 10:13:26| 23   6  70   0   0|5246M  159M  181M 2276M|7886  1883 |   0    24k|   0  5.99 |3273  5662 |1.43 1.68 1.29|1.0   0 8.0|   0     0 |   0     0 | 25  293    0    7    0
Dec 14 10:13:27 ubuntu dstat.sh[83142]: 14-12 10:13:27| 26   4  69   0   0|5193M  212M  181M 2276M|  15k   10k|   0   724k|   0  36.0 |2230  3154 |1.43 1.68 1.29|1.0   0 5.0|   0     0 |   0     0 | 25  293    0    7    0
Dec 14 10:13:28 ubuntu dstat.sh[83142]: 14-12 10:13:28| 25   4  70   0   0|5208M  196M  181M 2277M|  16k 9217 |  76k  536k|1.00  23.0 |2193  3164 |1.43 1.68 1.29|1.0   0 6.0|   0     0 |   0     0 | 25  293    0    7    0
Dec 14 10:13:29 ubuntu dstat.sh[83142]: 14-12 10:13:29| 24   5  69   2   0|5222M  180M  181M 2279M| 321k  313k| 488k 1749k|11.0  48.0 |3496  6087 |1.43 1.68 1.29|2.0   0   0|   0     0 |   0     0 | 25  314    0    8    0
Dec 14 10:13:30 ubuntu dstat.sh[83142]: 14-12 10:13:30| 26   3  67   2   0|5223M  179M  181M 2279M| 459k  450k|  16k  996k|2.00   135 |4350  8436 |1.43 1.68 1.29|2.0   0   0|   0     0 |   0     0 | 25  317    0   14    0
Dec 14 10:13:31 ubuntu dstat.sh[83142]: 14-12 10:13:31| 23  10  64   1   0|5162M  239M  181M 2279M| 240k  223k| 128k  841k|1.00   122 |4362  7767 |1.48 1.69 1.30|1.0   0 167|   0     0 |   0     0 | 25  315    0   17    0
Dec 14 10:13:32 ubuntu dstat.sh[83142]: 14-12 10:13:32| 12  17  68   4   1|5161M  236M  181M 2283M|  30k   22k|4143k  392k|46.0  30.0 |3302  5524 |1.48 1.69 1.30|2.0   0 273|   0     0 |   0     0 | 25  315    0   19    0
Dec 14 10:13:33 ubuntu dstat.sh[83142]: 14-12 10:13:33| 15   6  68  11   0|5143M  252M  181M 2285M|  13k 3197 |1789k  631k|96.8  16.0 |2207  3163 |1.48 1.69 1.30|1.0   0  12|   0     0 |   0     0 | 25  315    0   19    0
Dec 14 10:13:34 ubuntu dstat.sh[83142]: 14-12 10:13:34|  6   2  86   5   0|5145M  247M  181M 2287M|  40k   20k|2220k  296k|82.0  29.0 |2346  3580 |1.48 1.69 1.30|1.0   0 3.0|   0     0 |   0     0 | 25  316    0   19    0
Dec 14 10:13:35 ubuntu dstat.sh[83142]: 14-12 10:13:35|  6   1  91   1   0|5148M  244M  181M 2287M|  32k   15k| 136k  340k|18.0  42.0 |2432  3593 |1.48 1.69 1.30|  0   0   0|   0     0 |   0     0 | 25  316    0   19    0
Dec 14 10:13:36 ubuntu dstat.sh[83142]: 14-12 10:13:36|  4   1  95   0   0|5148M  243M  181M 2287M| 109k 4516 |   0   120k|   0  8.00 |1747  2823 |1.36 1.66 1.29|  0   0   0|   0     0 |   0     0 | 25  316    0   19    0
Dec 14 10:13:37 ubuntu dstat.sh[83142]: 14-12 10:13:37|  6   4  88   1   0|5148M  243M  181M 2288M|  78k   12k|   0  4185k|   0   255 |2695  4317 |1.36 1.66 1.29|  0   0 2.0|   0     0 |   0     0 | 25  316    0   19    0
Dec 14 10:13:38 ubuntu dstat.sh[83142]: 14-12 10:13:38|  8   1  90   1   0|5148M  243M  181M 2288M|  95k 8719 |   0   144k|   0  24.0 |1974  3269 |1.36 1.66 1.29|  0   0   0|   0     0 |   0     0 | 25  316    0   19    0
Dec 14 10:13:39 ubuntu dstat.sh[83142]: 14-12 10:13:39|  3   1  95   0   0|5148M  243M  181M 2288M|  93k 2873 |   0   216k|   0  16.0 |1750  2874 |1.36 1.66 1.29|  0   0   0|   0     0 |   0     0 | 25  316    0   19    0
Dec 14 10:13:40 ubuntu dstat.sh[83142]: 14-12 10:13:40|  3   1  95   0   0|5148M  243M  181M 2288M|  95k 4223 |   0    68k|   0  10.0 |1658  2769 |1.36 1.66 1.29|  0   0   0|   0     0 |   0     0 | 25  316    0   19    0
Dec 14 10:13:41 ubuntu dstat.sh[83142]: 14-12 10:13:41|  6   2  86   4   0|5149M  243M  181M 2288M| 127k   23k|   0    29M|   0   721 |3216  4300 |1.25 1.63 1.28|  0   0   0|   0     0 |   0     0 | 25  316    0   20    0
Dec 14 10:13:42 ubuntu dstat.sh[83142]: 14-12 10:13:42|  4   1  94   0   0|5149M  243M  181M 2288M|  99k 8754 |   0    80k|   0  12.0 |1816  3033 |1.25 1.63 1.28|  0   0   0|   0     0 |   0     0 | 25  316    0   20    0
Dec 14 10:13:43 ubuntu dstat.sh[83142]: 14-12 10:13:43|  3   1  94   0   0|5149M  243M  181M 2288M| 115k 8101 |   0   104k|   0  8.00 |1713  2783 |1.25 1.63 1.28|  0   0   0|   0     0 |   0     0 | 25  316    0   19    0
Dec 14 10:13:44 ubuntu dstat.sh[83142]: 14-12 10:13:44|  9   4  85   0   0|5175M  216M  181M 2288M| 116k   10k|   0   172k|   0  20.1 |2700  5999 |1.25 1.63 1.28|1.0   0  34|   0     0 |   0     0 | 26  317    0   19    0
Dec 14 10:13:45 ubuntu dstat.sh[83142]: 14-12 10:13:45|  3   1  92   0   0|5149M  243M  181M 2288M| 124k   12k|   0   287k|   0  37.9 |2228  3547 |1.25 1.63 1.28|  0   0   0|   0     0 |   0     0 | 25  316    0   19    0
