-- Logs begin at Sat 2023-08-05 00:30:40 UTC, end at Sat 2023-08-05 02:02:27 UTC. --
Aug 05 01:25:59 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Aug 05 01:25:59 ubuntu dstat.sh[106609]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Aug 05 01:25:59 ubuntu dstat.sh[106609]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Aug 05 01:41:40 ubuntu dstat.sh[106609]: 05-08 01:41:40| 27   8  63   2   0|4971M  295M  205M 2365M|  10k 2951 | 176k  682k|14.0  35.1 |2345  3367 |0.93 1.40 1.29|1.0   0 6.0|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:41 ubuntu dstat.sh[106609]: 05-08 01:41:41| 28   6  65   1   0|5015M  251M  205M 2365M|  20k   13k|  16k 2795k|2.99   162 |2839  4233 |0.93 1.40 1.29|1.0   0 1.0|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:42 ubuntu dstat.sh[106609]: 05-08 01:41:42| 25   4  69   0   0|4973M  291M  205M 2367M|  21k   11k|   0  1060k|   0  48.0 |2416  3717 |0.93 1.40 1.29|1.0   0 3.0|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:43 ubuntu dstat.sh[106609]: 05-08 01:41:43| 25   3  69   0   0|5018M  246M  205M 2367M|  26k   15k|   0   432k|   0  43.0 |2446  3744 |0.94 1.39 1.28|2.0   0 3.0|   0     0 |   0     0 | 25  312    0   32    2
Aug 05 01:41:44 ubuntu dstat.sh[106609]: 05-08 01:41:44| 26   5  65   2   0|5024M  239M  205M 2368M| 399k  391k|  20k 1086k|2.00   129 |5064  9203 |0.94 1.39 1.28|2.0   0   0|   0     0 |   0     0 | 25  314    0   33    2
Aug 05 01:41:45 ubuntu dstat.sh[106609]: 05-08 01:41:45| 28   3  59   6   0|5029M  234M  205M 2368M| 586k  567k|   0  7936k|   0   624 |5864    10k|0.94 1.39 1.28|1.0   0 1.0|   0     0 |   0     0 | 25  316    0   34    2
Aug 05 01:41:46 ubuntu dstat.sh[106609]: 05-08 01:41:46| 27   3  66   1   0|5036M  226M  205M 2368M| 560k  550k|   0  1713k|   0   164 |3708  6637 |0.94 1.39 1.28|1.0   0   0|   0     0 |   0     0 | 25  316    0   36    2
Aug 05 01:41:47 ubuntu dstat.sh[106609]: 05-08 01:41:47| 31   2  64   2   0|5042M  221M  206M 2368M| 555k  545k|   0  1228k|   0   137 |3799  6493 |0.94 1.39 1.28|2.0   0   0|   0     0 |   0     0 | 25  316    0   36    2
Aug 05 01:41:48 ubuntu dstat.sh[106609]: 05-08 01:41:48| 37   4  56   1   0|5045M  218M  206M 2368M| 802k  790k|   0  1784k|   0   177 |5083  9223 |1.10 1.42 1.29|2.0   0   0|   0     0 |   0     0 | 25  316    0   41    2
Aug 05 01:41:49 ubuntu dstat.sh[106609]: 05-08 01:41:49| 31   4  59   6   0|5051M  211M  206M 2368M| 549k  540k|  16k 9425k|1.00   714 |6318    10k|1.10 1.42 1.29|1.0   0   0|   0     0 |   0     0 | 25  316    0   42    2
Aug 05 01:41:50 ubuntu dstat.sh[106609]: 05-08 01:41:50| 34   5  57   1   0|5052M  209M  206M 2368M| 597k  584k|   0  1155k|   0   132 |4426  9864 |1.10 1.42 1.29|2.0   0  34|   0     0 |   0     0 | 25  317    0   44    2
Aug 05 01:41:51 ubuntu dstat.sh[106609]: 05-08 01:41:51| 31   3  63   1   0|5053M  209M  206M 2368M| 632k  621k|   0  1245k|   0   143 |4063  7016 |1.10 1.42 1.29|1.0   0   0|   0     0 |   0     0 | 25  316    0   44    2
Aug 05 01:41:52 ubuntu dstat.sh[106609]: 05-08 01:41:52| 33   2  61   1   0|5054M  207M  206M 2369M| 545k  532k|   0  1150k|   0   115 |3685  6230 |1.10 1.42 1.29|1.0   0   0|   0     0 |   0     0 | 25  316    0   46    2
Aug 05 01:41:53 ubuntu dstat.sh[106609]: 05-08 01:41:53| 28   3  68   0   0|5057M  204M  206M 2369M| 493k  485k|   0   878k|   0  79.9 |3665  6344 |1.09 1.41 1.29|1.0   0 2.0|   0     0 |   0     0 | 25  317    0   49    2
Aug 05 01:41:54 ubuntu dstat.sh[106609]: 05-08 01:41:54| 25   5  60   6   0|5074M  186M  206M 2370M| 470k  460k|1024k 2448k|63.0   205 |4644  7804 |1.09 1.41 1.29|1.0   0 7.0|   0     0 |   0     0 | 25  333    0   50    2
Aug 05 01:41:55 ubuntu dstat.sh[106609]: 05-08 01:41:55| 27   6  61   8   1|5093M  165M  207M 2371M| 326k  316k|1169k 3295k|61.1   328 |5204  8822 |1.09 1.41 1.29|3.0   0 3.0|   0     0 |   0     0 | 25  344    0   50    2
Aug 05 01:41:56 ubuntu dstat.sh[106609]: 05-08 01:41:56| 48  11  39   2   0|5111M  121M  207M 2396M|  66M   66M|4099B   18M|1.00   225 |5491    10k|1.09 1.41 1.29| 14   0 4.0|   0     0 |   0     0 | 25  347    0   56    1
Aug 05 01:41:57 ubuntu dstat.sh[106609]: 05-08 01:41:57| 38   8  39  14   0|5133M  121M  207M 2376M| 478k  469k|  37k   22M|9.01   595 |6076    11k|1.09 1.41 1.29|3.0   0  16|   0     0 |   0     0 | 25  347    0   56    1
Aug 05 01:41:58 ubuntu dstat.sh[106609]: 05-08 01:41:58| 51  10  35   3   0|5188M  156M  205M 2289M| 667k  646k| 375k 7059k|17.9   576 |5332  7673 |1.17 1.42 1.30|1.0 2.0 4.0|   0     0 |   0     0 | 25  350    0   56    1
Aug 05 01:41:59 ubuntu dstat.sh[106609]: 05-08 01:41:59| 38   7  47   7   0|5167M  178M  205M 2289M| 510k  491k|  56k   23M|6.01   479 |4325  6177 |1.17 1.42 1.30|1.0   0  16|   0     0 |   0     0 | 25  352    0   57    0
Aug 05 01:42:00 ubuntu dstat.sh[106609]: 05-08 01:42:00| 28   4  67   0   0|5209M  136M  205M 2289M| 126k  105k|   0   288k|   0  11.0 |2427  3451 |1.17 1.42 1.30|1.0   0 5.0|   0     0 |   0     0 | 25  352    0   51    0
Aug 05 01:42:01 ubuntu dstat.sh[106609]: 05-08 01:42:01| 27   6  63   3   0|5209M  176M  205M 2251M| 121k  111k| 124k  320k|14.0  23.0 |2324  3434 |1.17 1.42 1.30|3.0   0 3.0|   0     0 |   0     0 | 25  352    0   51    0
Aug 05 01:42:02 ubuntu dstat.sh[106609]: 05-08 01:42:02| 26   5  64   5   0|5218M  165M  205M 2252M| 160k  148k| 870k  606k|35.1  45.1 |2860  4350 |1.17 1.42 1.30|1.0   0  13|   0     0 |   0     0 | 25  352    0   52    0
Aug 05 01:42:03 ubuntu dstat.sh[106609]: 05-08 01:42:03| 45   9  40   6   0|5253M  121M  205M 2261M| 408k  398k|8923k 1018k| 106  94.8 |4776  7963 |1.31 1.45 1.31|4.0   0  27|   0     0 |   0     0 | 25  354    0   52    0
Aug 05 01:42:04 ubuntu dstat.sh[106609]: 05-08 01:42:04| 38  19  40   2   0|5275M  178M  203M 2187M| 120k  110k|2631k 3994k|56.1   526 |6641  8745 |1.31 1.45 1.31|6.0   0  10|   0     0 |   0     0 | 26  355    0   52    0
Aug 05 01:42:05 ubuntu dstat.sh[106609]: 05-08 01:42:05| 57   9  27   5   0|5332M  121M  203M 2187M| 476k  466k|  19M 1124k| 696   129 |8516    16k|1.31 1.45 1.31|2.0   0 2.0|   0     0 |   0     0 | 26  360    0   52    0
Aug 05 01:42:06 ubuntu dstat.sh[106609]: 05-08 01:42:06| 59  10  28   2   0|5434M  369M  201M 1854M| 130k  121k| 213k  722k|6.02  62.2 |3532  5281 |1.31 1.45 1.31|4.0   0 7.0|   0     0 |   0     0 | 26  363    0   51    0
Aug 05 01:42:07 ubuntu dstat.sh[106609]: 05-08 01:42:07| 70   8  15   6   0|5522M  279M  201M 1855M| 231k  221k| 918k 1544k|65.2   194 |5316  9169 |1.31 1.45 1.31|4.0   0 6.0|   0     0 |   0     0 | 26  368    0   52    0
Aug 05 01:42:08 ubuntu dstat.sh[106609]: 05-08 01:42:08| 56   7  37   0   0|5563M  238M  201M 1855M|  97k   88k|  32k 1256k|1.99   103 |3623  6232 |1.37 1.46 1.31|2.0   0 4.0|   0     0 |   0     0 | 26  369    0   46    0
Aug 05 01:42:09 ubuntu dstat.sh[106609]: 05-08 01:42:09| 56  12  29   3   0|5591M  210M  201M 1856M| 298k  289k| 405k 1098k|26.1   122 |4641  7918 |1.37 1.46 1.31|6.0   0  23|   0     0 |   0     0 | 26  370    0   47    0
Aug 05 01:42:10 ubuntu dstat.sh[106609]: 05-08 01:42:10| 57  11  29   2   0|5484M  316M  201M 1856M| 391k  378k| 316k 4681k|17.0   317 |5946    10k|1.37 1.46 1.31|4.0   0  41|   0     0 |   0     0 | 25  370    0   47    0
Aug 05 01:42:11 ubuntu dstat.sh[106609]: 05-08 01:42:11| 45  14  37   2   0|5487M  312M  202M 1856M| 809k  798k| 180k 2520k|16.0   190 |5800    10k|1.37 1.46 1.31|3.0   0  52|   0     0 |   0     0 | 25  370    0   48    0
Aug 05 01:42:12 ubuntu dstat.sh[106609]: 05-08 01:42:12| 31   3  53  12   0|5488M  309M  202M 1857M| 616k  601k| 724k 1829k|30.0   222 |5282  8869 |1.37 1.46 1.31|4.0   0 1.0|   0     0 |   0     0 | 25  371    0   48    0
Aug 05 01:42:13 ubuntu dstat.sh[106609]: 05-08 01:42:13| 29   3  65   2   0|5494M  303M  202M 1857M| 475k  466k|  48k 2999k|3.00   233 |4012  6744 |1.34 1.45 1.31|1.0   0 3.0|   0     0 |   0     0 | 25  373    0   48    0
Aug 05 01:42:14 ubuntu dstat.sh[106609]: 05-08 01:42:14| 26   4  64   5   0|5496M  301M  202M 1858M| 449k  441k| 400k 3451k|20.0   284 |4245  6960 |1.34 1.45 1.31|2.0   0 1.0|   0     0 |   0     0 | 25  373    0   51    0
Aug 05 01:42:15 ubuntu dstat.sh[106609]: 05-08 01:42:15| 27   4  64   4   0|5488M  308M  203M 1858M| 325k  316k| 552k 1471k|31.0   154 |3831  6232 |1.34 1.45 1.31|1.0   0   0|   0     0 |   0     0 | 25  373    0   52    0
Aug 05 01:42:16 ubuntu dstat.sh[106609]: 05-08 01:42:16| 29   3  63   4   0|5490M  305M  203M 1859M| 565k  555k| 748k 4799k|32.0   345 |4498  7429 |1.34 1.45 1.31|3.0   0   0|   0     0 |   0     0 | 25  373    0   54    0
Aug 05 01:42:17 ubuntu dstat.sh[106609]: 05-08 01:42:17| 30   4  64   2   1|5492M  302M  203M 1859M| 383k  365k|  16k 2537k|1.00   182 |3729  6022 |1.34 1.45 1.31|2.0   0 1.0|   0     0 |   0     0 | 25  373    0   57    0
Aug 05 01:42:18 ubuntu dstat.sh[106609]: 05-08 01:42:18| 28   4  64   2   0|5493M  301M  203M 1860M| 460k  451k|  16k 2732k|1.00   265 |4847  8446 |1.31 1.44 1.31|1.0   0 1.0|   0     0 |   0     0 | 25  376    0   59    0
Aug 05 01:42:19 ubuntu dstat.sh[106609]: 05-08 01:42:19| 29   5  63   4   0|5492M  301M  203M 1860M| 486k  476k| 128k 3997k|5.01   352 |5254  9401 |1.31 1.44 1.31|2.0   0 1.0|   0     0 |   0     0 | 25  376    0   64    0
Aug 05 01:42:20 ubuntu dstat.sh[106609]: 05-08 01:42:20| 27   3  65   2   0|5493M  301M  204M 1860M| 520k  510k|  16k 2290k|1.00   228 |5787    11k|1.31 1.44 1.31|  0 1.0   0|   0     0 |   0     0 | 25  377    0   65    0
Aug 05 01:42:21 ubuntu dstat.sh[106609]: 05-08 01:42:21| 29   3  63   3   0|5494M  299M  204M 1860M| 507k  497k|  48k 3245k|2.00   292 |4719  8122 |1.31 1.44 1.31|3.0   0   0|   0     0 |   0     0 | 25  377    0   66    0
Aug 05 01:42:22 ubuntu dstat.sh[106609]: 05-08 01:42:22| 31   3  61   3   0|5496M  296M  204M 1860M| 563k  554k|   0  7258k|   0   524 |5070  8769 |1.31 1.44 1.31|  0   0   0|   0     0 |   0     0 | 25  377    0   68    0
Aug 05 01:42:23 ubuntu dstat.sh[106609]: 05-08 01:42:23| 30   3  63   1   0|5496M  296M  204M 1860M| 673k  665k|   0  1387k|   0   163 |4211  7168 |1.37 1.45 1.31|2.0   0 2.0|   0     0 |   0     0 | 25  377    0   68    0
Aug 05 01:42:24 ubuntu dstat.sh[106609]: 05-08 01:42:24| 31   3  66   1   0|5497M  295M  204M 1861M| 519k  508k|   0   950k|   0  84.2 |3652  6208 |1.37 1.45 1.31|1.0   0   0|   0     0 |   0     0 | 25  379    0   70    0
Aug 05 01:42:25 ubuntu dstat.sh[106609]: 05-08 01:42:25| 29   4  64   2   0|5510M  282M  204M 1861M| 500k  492k|  16k 1987k|1.00   169 |4084  6836 |1.37 1.45 1.31|2.0   0 6.0|   0     0 |   0     0 | 25  389    0   72    0
Aug 05 01:42:26 ubuntu dstat.sh[106609]: 05-08 01:42:26| 33   4  57   4   0|5523M  268M  205M 1861M| 694k  684k|   0  3824k|   0   371 |6154    11k|1.37 1.45 1.31|2.0 1.0 2.0|   0     0 |   0     0 | 25  396    0   72    0
Aug 05 01:42:27 ubuntu dstat.sh[106609]: 05-08 01:42:27| 41   7  48   4   0|5525M  266M  205M 1861M| 739k  729k|4103B 8439k|1.00   611 |6436    11k|1.37 1.45 1.31|2.0   0  15|   0     0 |   0     0 | 25  396    0   72    0
Aug 05 01:42:28 ubuntu dstat.sh[106609]: 05-08 01:42:28| 35   5  58   1   0|5533M  257M  205M 1862M| 731k  723k|   0   781k|   0  70.7 |4123  7060 |1.34 1.44 1.31|6.0   0 6.0|   0     0 |   0     0 | 25  397    0   72    0
Aug 05 01:42:29 ubuntu dstat.sh[106609]: 05-08 01:42:29| 33   7  59   1   0|5538M  252M  205M 1862M| 223k  214k|   0  1105k|   0  64.3 |3071  4934 |1.34 1.44 1.31|3.0   0  28|   0     0 |   0     0 | 25  396    0   72    0
Aug 05 01:42:30 ubuntu dstat.sh[106609]: 05-08 01:42:30| 45  22  30   1   0|5554M  235M  205M 1863M| 597k  586k| 147k 1111k|22.0  77.9 |9162    16k|1.34 1.44 1.31|1.0   0  44|   0     0 |   0     0 | 26  396    0   73    0
Aug 05 01:42:31 ubuntu dstat.sh[106609]: 05-08 01:42:31| 50   7  35   6   0|5583M  206M  205M 1863M| 704k  694k|  19M 2007k| 693   279 |9764    18k|1.34 1.44 1.31|2.0   0 2.0|   0     0 |   0     0 | 26  397    0   74    0
Aug 05 01:42:32 ubuntu dstat.sh[106609]: 05-08 01:42:32| 33   3  62   1   0|5650M  138M  205M 1863M| 135k  125k|   0  1602k|   0   143 |3703  5611 |1.34 1.44 1.31|6.0   0   0|   0     0 |   0     0 | 26  397    0   75    0
Aug 05 01:42:33 ubuntu dstat.sh[106609]: 05-08 01:42:33| 63   8  26   3   0|5686M  120M  205M 1847M| 722k  713k|  48k   15M|3.01  1431 |7660  9954 |2.35 1.65 1.38|2.0   0 5.0|   0     0 |   0     0 | 26  398    0   75    0
Aug 05 01:42:34 ubuntu dstat.sh[106609]: 05-08 01:42:34| 47  12  39   0   0|5755M  155M  201M 1751M|  66k   47k|   0  3652k|   0   238 |3868  6384 |2.35 1.65 1.38|2.0   0 3.0|   0     0 |   0     0 | 26  398    0   76    0
Aug 05 01:42:35 ubuntu dstat.sh[106609]: 05-08 01:42:35| 44   5  41  10   1|5730M  179M  202M 1752M| 133k  122k|1882k  501k|35.1  30.0 |3436  5576 |2.35 1.65 1.38|2.0   0  10|   0     0 |   0     0 | 26  403    0   76    0
Aug 05 01:42:36 ubuntu dstat.sh[106609]: 05-08 01:42:36| 39   3  58   1   0|5731M  178M  202M 1752M| 123k   98k|   0   875k|   0  72.2 |3977  6277 |2.35 1.65 1.38|3.0   0 3.0|   0     0 |   0     0 | 26  409    0   76    0
Aug 05 01:42:37 ubuntu dstat.sh[106609]: 05-08 01:42:37| 34   3  59   1   0|5735M  173M  202M 1752M| 164k  151k| 167k  835k|6.96  76.5 |4158    10k|2.35 1.65 1.38|5.0   0 4.0|   0     0 |   0     0 | 26  407    0   75    0
Aug 05 01:42:38 ubuntu dstat.sh[106609]: 05-08 01:42:38| 30   3  65   0   0|5737M  171M  202M 1752M|  46k   39k| 180k  429k|7.01  24.0 |4269  5007 |2.24 1.64 1.37|2.0   0 9.0|   0     0 |   0     0 | 26  408    0   75    0
Aug 05 01:42:39 ubuntu dstat.sh[106609]: 05-08 01:42:39| 32  10  51   5   1|5735M  165M  202M 1759M|1190k   87k|2478k  544k| 103  36.0 |6411  6852 |2.24 1.64 1.37|1.0   0  42|   0     0 |   0     0 | 26  408    0   68    0
Aug 05 01:42:40 ubuntu dstat.sh[106609]: 05-08 01:42:40| 40   7  47   4   0|5755M  174M  202M 1733M| 165k  147k|1330k  833k|40.1  54.1 |4686  5693 |2.24 1.64 1.37|4.0   0 9.0|   0     0 |   0     0 | 26  408    0   68    0
Aug 05 01:42:41 ubuntu dstat.sh[106609]: 05-08 01:42:41| 34   2  59   1   0|5751M  177M  202M 1734M| 201k  177k| 339k  791k|50.9  90.8 |5377  7393 |2.24 1.64 1.37|3.0   0 1.0|   0     0 |   0     0 | 26  409    0   66    0
Aug 05 01:42:42 ubuntu dstat.sh[106609]: 05-08 01:42:42| 47  15  35   2   0|5598M  330M  202M 1733M|1775k  634k| 448k 1988k|       168 |7032    11k|2.24 1.64 1.37|2.0 1.0  66|   0     0 |   0     0 | 25  407    0   68    0
Aug 05 01:42:43 ubuntu dstat.sh[106609]: 05-08 01:42:43| 34   4  61   3   0|5597M  332M  202M 1733M| 539k  525k|  64k 1481k|8.98   161 |4688  7969 |2.22 1.65 1.38|2.0   0 3.0|   0     0 |   0     0 | 25  409    0   68    0
Aug 05 01:42:44 ubuntu dstat.sh[106609]: 05-08 01:42:44| 20   3  73   2   0|5597M  331M  202M 1734M| 375k  349k|   0  3169k|   0   242 |4166  6986 |2.22 1.65 1.38|1.0   0   0|   0     0 |   0     0 | 25  407    0   69    0
Aug 05 01:42:45 ubuntu dstat.sh[106609]: 05-08 01:42:45|  8   1  85   1   0|5597M  331M  202M 1734M| 146k  137k|   0  1667k|   0   140 |2926  5008 |2.22 1.65 1.38|1.0   0   0|   0     0 |   0     0 | 25  408    0   68    0
Aug 05 01:42:46 ubuntu dstat.sh[106609]: 05-08 01:42:46| 16   4  74   4   0|5590M  337M  202M 1734M| 250k  234k|   0  5147k|   0   374 |4515  7767 |2.22 1.65 1.38|1.0   0   0|   0     0 |   0     0 | 25  407    0   69    0
Aug 05 01:42:47 ubuntu dstat.sh[106609]: 05-08 01:42:47| 24   3  72   1   0|5590M  337M  202M 1734M| 477k  468k|   0  1243k|   0  97.3 |3340  5495 |2.22 1.65 1.38| 11   0   0|   0     0 |   0     0 | 25  409    0   66    0
Aug 05 01:42:48 ubuntu dstat.sh[106609]: 05-08 01:42:48| 28   3  65   1   0|5590M  338M  203M 1734M| 519k  512k|   0  1722k|   0   177 |3876  6525 |2.13 1.64 1.37|1.0   0 2.0|   0     0 |   0     0 | 25  411    0   71    0
Aug 05 01:42:49 ubuntu dstat.sh[106609]: 05-08 01:42:49| 31   3  63   3   0|5589M  338M  203M 1734M| 503k  494k|  80k 2124k|5.01   214 |4668  7976 |2.13 1.64 1.37|2.0   0   0|   0     0 |   0     0 | 25  410    0   69    0
Aug 05 01:42:50 ubuntu dstat.sh[106609]: 05-08 01:42:50| 35   8  56   1   0|5590M  337M  203M 1734M| 479k  463k|   0  3209k|   0   267 |6716    14k|2.13 1.64 1.37|1.0   0  34|   0     0 |   0     0 | 25  412    0   71    0
Aug 05 01:42:51 ubuntu dstat.sh[106609]: 05-08 01:42:51| 29   3  60   5   0|5590M  336M  203M 1735M| 561k  551k| 164k 3100k|5.99   307 |5113  8966 |2.13 1.64 1.37|2.0   0   0|   0     0 |   0     0 | 25  411    0   67    0
Aug 05 01:42:52 ubuntu dstat.sh[106609]: 05-08 01:42:52| 30   3  62   4   1|5590M  336M  203M 1735M| 488k  480k| 136k 5593k|5.00   435 |4942  8362 |2.13 1.64 1.37|4.0   0   0|   0     0 |   0     0 | 25  411    0   70    0
Aug 05 01:42:53 ubuntu dstat.sh[106609]: 05-08 01:42:53| 30   2  63   2   0|5590M  335M  204M 1735M| 453k  444k|  32k 3339k|1.00   256 |4330  7220 |2.04 1.63 1.37|1.0   0 2.0|   0     0 |   0     0 | 25  411    0   64    0
Aug 05 01:42:54 ubuntu dstat.sh[106609]: 05-08 01:42:54| 35   2  62   1   0|5590M  335M  204M 1735M| 681k  673k|   0  1075k|   0   105 |3526  6031 |2.04 1.63 1.37|3.0   0   0|   0     0 |   0     0 | 25  411    0   64    0
Aug 05 01:42:55 ubuntu dstat.sh[106609]: 05-08 01:42:55| 31   4  63   1   0|5592M  333M  204M 1735M| 659k  649k|   0  1384k|   0  90.0 |3847  6685 |2.04 1.63 1.37|2.0   0 1.0|   0     0 |   0     0 | 25  414    0   67    0
Aug 05 01:42:56 ubuntu dstat.sh[106609]: 05-08 01:42:56| 52   6  37   5   0|5598M  326M  204M 1736M|1202k 1190k|  48k 5341k|6.00   545 |7053    13k|2.04 1.63 1.37|3.0   0 1.0|   0     0 |   0     0 | 25  407    0   71    2
Aug 05 01:42:57 ubuntu dstat.sh[106609]: 05-08 01:42:57| 62  10  24   2   0|5602M  321M  204M 1737M|1152k 1143k|  60k 5559k|3.99   476 |6544    12k|2.04 1.63 1.37|5.0   0  24|   0     0 |   0     0 | 25  409    0   65    2
Aug 05 01:42:58 ubuntu dstat.sh[106609]: 05-08 01:42:58| 60   7  32   2   0|5604M  318M  204M 1737M|1354k 1346k|   0  2975k|   0   284 |6047    11k|2.03 1.63 1.37|3.0   0  11|   0     0 |   0     0 | 25  410    0   65    2
Aug 05 01:42:59 ubuntu dstat.sh[106609]: 05-08 01:42:59| 61  13  24   1   0|5609M  312M  205M 1737M| 833k  822k|   0  6454k|   0   440 |5552  9808 |2.03 1.63 1.37|4.0   0  42|   0     0 |   0     0 | 25  409    0   66    2
Aug 05 01:43:00 ubuntu dstat.sh[106609]: 05-08 01:43:00| 53  18  26   1   0|5627M  289M  205M 1742M| 589k  580k|4055k 2759k|84.8   133 |7123    11k|2.03 1.63 1.37|2.0   0  52|   0     0 |   0     0 | 26  411    0   66    2
Aug 05 01:43:01 ubuntu dstat.sh[106609]: 05-08 01:43:01| 58  19  19   4   0|5665M  250M  205M 1743M| 767k  758k|  14M 1429k| 557   130 |  11k   19k|2.03 1.63 1.37|3.0   0  26|   0     0 |   0     0 | 27  414    0   65    2
Aug 05 01:43:02 ubuntu dstat.sh[106609]: 05-08 01:43:02| 60   8  27   4   1|5745M  170M  205M 1743M| 647k  638k|  16M 1145k| 605   127 |7780    15k|2.03 1.63 1.37|3.0 1.0   0|   0     0 |   0     0 | 27  415    0   65    2
Aug 05 01:43:03 ubuntu dstat.sh[106609]: 05-08 01:43:03| 69   8  17   2   0|5736M  195M  205M 1728M| 599k  588k|7571k 1216k| 255   108 |6711    12k|2.27 1.69 1.39|3.0   0  21|   0     0 |   0     0 | 26  414    0   67    2
Aug 05 01:43:04 ubuntu dstat.sh[106609]: 05-08 01:43:04| 67  15  13   4   0|5766M  165M  205M 1728M| 663k  655k|   0    15M|   0  1414 |6816    11k|2.27 1.69 1.39|3.0   0  46|   0     0 |   0     0 | 26  414    0   67    2
Aug 05 01:43:05 ubuntu dstat.sh[106609]: 05-08 01:43:05| 64  11  24   1   0|5779M  151M  205M 1729M| 451k  442k| 516k 1137k|43.9  85.8 |4525  8527 |2.27 1.69 1.39|6.0   0  37|   0     0 |   0     0 | 26  414    0   67    2
Aug 05 01:43:06 ubuntu dstat.sh[106609]: 05-08 01:43:06| 52  11  34   1   0|5784M  146M  205M 1729M| 382k  371k| 615k 1416k|51.4   135 |6314    12k|2.27 1.69 1.39|4.0   0 2.0|   0     0 |   0     0 | 27  417    0   67    2
Aug 05 01:43:07 ubuntu dstat.sh[106609]: 05-08 01:43:07| 53   6  35   4   0|5825M  134M  204M 1702M| 111k   92k|  18M  868k| 640  77.7 |9795    16k|2.27 1.69 1.39|4.0   0   0|   0     0 |   0     0 | 27  416    0   66    2
Aug 05 01:43:08 ubuntu dstat.sh[106609]: 05-08 01:43:08| 70   5  24   2   1|5872M  125M  203M 1666M| 499k  487k|   0  1525k|   0   194 |5524  8507 |2.89 1.83 1.44|2.0   0   0|   0     0 |   0     0 | 27  416    0   68    2
Aug 05 01:43:09 ubuntu dstat.sh[106609]: 05-08 01:43:09| 59   3  34   2   0|5890M  130M  201M 1646M| 301k  291k|  16k 6456k|4.00   450 |5928    11k|2.89 1.83 1.44|6.0   0   0|   0     0 |   0     0 | 27  417    0   68    2
Aug 05 01:43:10 ubuntu dstat.sh[106609]: 05-08 01:43:10| 69  12  17   2   0|5779M  321M  182M 1586M| 641k  633k| 232k 1297k|15.0   102 |5827    10k|2.89 1.83 1.44|8.0   0  31|   0     0 |   0     0 | 26  416    0   69    2
Aug 05 01:43:11 ubuntu dstat.sh[106609]: 05-08 01:43:11| 69  11  17   1   0|5770M  330M  182M 1587M| 676k  668k|  84k 1660k|6.00   129 |5742  9983 |2.89 1.83 1.44|2.0   0  32|   0     0 |   0     0 | 26  417    0   69    2
Aug 05 01:43:12 ubuntu dstat.sh[106609]: 05-08 01:43:12| 61  13  24   1   0|5784M  313M  182M 1590M| 483k  469k|3263k  958k|80.8  85.8 |5515    11k|2.89 1.83 1.44|3.0   0  32|   0     0 |   0     0 | 27  416    0   68    2
Aug 05 01:43:13 ubuntu dstat.sh[106609]: 05-08 01:43:13| 53   8  36   1   0|5796M  301M  183M 1590M| 319k  310k|2625k  840k| 120  87.0 |7150    13k|2.74 1.81 1.44|4.0 1.0 3.0|   0     0 |   0     0 | 27  416    0   68    2
Aug 05 01:43:14 ubuntu dstat.sh[106609]: 05-08 01:43:14| 55   4  35   3   0|5859M  237M  183M 1590M| 153k  133k|  16M  381k| 573  23.1 |6958    12k|2.74 1.81 1.44|5.0   0   0|   0     0 |   0     0 | 27  417    0   68    2
Aug 05 01:43:15 ubuntu dstat.sh[106609]: 05-08 01:43:15| 74   5  19   1   0|5778M  318M  183M 1591M| 596k  583k| 160k  903k|12.0  68.0 |4459  7528 |2.74 1.81 1.44|9.0   0  12|   0     0 |   0     0 | 26  416    0   68    2
Aug 05 01:43:16 ubuntu dstat.sh[106609]: 05-08 01:43:16| 60   8  30   1   0|5789M  306M  183M 1591M| 359k  348k|  32k 1016k|8.00  73.0 |6206  7284 |2.74 1.81 1.44|2.0   0  47|   0     0 |   0     0 | 26  416    0   65    2
Aug 05 01:43:17 ubuntu dstat.sh[106609]: 05-08 01:43:17| 61  12  24   0   0|5799M  295M  183M 1591M| 439k  422k| 835k 1002k| 111  87.9 |7640    12k|2.74 1.81 1.44|3.0   0  27|   0     0 |   0     0 | 27  416    0   65    2
Aug 05 01:43:18 ubuntu dstat.sh[106609]: 05-08 01:43:18| 51   9  36   2   0|5827M  268M  183M 1591M| 289k  279k|  18M 8924k| 696   180 |  11k   18k|3.08 1.90 1.47|8.0   0 8.0|   0     0 |   0     0 | 27  417    0   59    2
Aug 05 01:43:19 ubuntu dstat.sh[106609]: 05-08 01:43:19| 60   4  33   2   0|5895M  199M  183M 1592M| 238k  219k|1920k   15M|70.8   519 |9862    10k|3.08 1.90 1.47|2.0   0  27|   0     0 |   0     0 | 27  416    0   60    2
