-- Logs begin at Thu 2023-07-13 13:07:04 UTC, end at Thu 2023-07-13 14:59:11 UTC. --
Jul 13 14:23:13 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jul 13 14:23:13 ubuntu dstat.sh[82492]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 13 14:23:13 ubuntu dstat.sh[82492]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 13 14:33:06 ubuntu dstat.sh[82492]: 13-07 14:33:06| 11  20  66   0   0|4895M  212M  187M 2521M|  14k 6855 |   0   512k|   0  41.0 |3856  6635 |1.30 1.64 1.12|1.0   0 458|   0     0 |   0     0 | 25  297    0   21    2
Jul 13 14:33:07 ubuntu dstat.sh[82492]: 13-07 14:33:07| 11  20  67   0   0|4895M  212M  187M 2521M|  10k 2080 |   0   108k|   0  13.0 |3597  6019 |1.30 1.64 1.12|1.0   0 413|   0     0 |   0     0 | 25  297    0   21    2
Jul 13 14:33:08 ubuntu dstat.sh[82492]: 13-07 14:33:08| 12  21  66   0   0|4895M  212M  187M 2521M|  16k 8842 |   0   256k|   0  22.0 |3769  6490 |1.30 1.64 1.12|1.0   0 446|   0     0 |   0     0 | 25  297    0   21    2
Jul 13 14:33:09 ubuntu dstat.sh[82492]: 13-07 14:33:09| 19  10  69   2   0|4907M  210M  187M 2511M|  21k   13k| 903k  611k|34.0  34.0 |2914  4727 |1.27 1.63 1.12|3.0   0 177|   0     0 |   0     0 | 25  297    0   22    2
Jul 13 14:33:10 ubuntu dstat.sh[82492]: 13-07 14:33:10| 18   9  68   2   1|4924M  262M  187M 2449M|  12k 3180 | 489k 2559k|58.1  28.1 |8069    16k|1.27 1.63 1.12|2.0   0 8.0|   0     0 |   0     0 | 25  297    0   21    2
Jul 13 14:33:11 ubuntu dstat.sh[82492]: 13-07 14:33:11| 21   6  69   2   0|4934M  242M  187M 2458M|  19k 8586 | 120k 1105k|6.98  26.9 |2654  4176 |1.27 1.63 1.12|1.0   0 2.0|   0     0 |   0     0 | 25  297    0   21    2
Jul 13 14:33:12 ubuntu dstat.sh[82492]: 13-07 14:33:12| 15   4  67  12   0|4938M  212M  187M 2484M|  75k   56k|  25M 1169k| 223  23.0 |2714  3871 |1.27 1.63 1.12|4.0   0 4.0|   0     0 |   0     0 | 25  297    0   21    2
Jul 13 14:33:13 ubuntu dstat.sh[82492]: 13-07 14:33:13| 19   2  76   0   0|4938M  211M  187M 2485M| 121k  114k|   0   288k|   0  22.0 |2917  5416 |1.27 1.63 1.12|  0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:14 ubuntu dstat.sh[82492]: 13-07 14:33:14|  5   2  91   1   0|4939M  211M  187M 2485M|  30k   20k|   0   448k|   0  51.0 |2299  3770 |1.25 1.62 1.12|  0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:15 ubuntu dstat.sh[82492]: 13-07 14:33:15|  6   1  91   1   0|4940M  209M  187M 2485M|  13k 6170 | 208k  392k|6.00  25.0 |1795  2813 |1.25 1.62 1.12|1.0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:16 ubuntu dstat.sh[82492]: 13-07 14:33:16| 16   4  79   1   0|4972M  176M  187M 2486M|  15k 7184 | 256k  508k|2.00  18.0 |2004  2916 |1.25 1.62 1.12|2.0   0 4.0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:17 ubuntu dstat.sh[82492]: 13-07 14:33:17| 34   6  59   0   0|4966M  179M  187M 2489M|  11k 3481 | 256k  760k|2.00  31.0 |2198  2903 |1.25 1.62 1.12|1.0   0 7.0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:18 ubuntu dstat.sh[82492]: 13-07 14:33:18| 26   6  66   1   0|4978M  165M  187M 2491M|  23k   11k| 512k  488k|4.00  28.0 |2368  3553 |1.25 1.62 1.12|2.0   0 7.0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:19 ubuntu dstat.sh[82492]: 13-07 14:33:19| 11   1  85   1   0|4949M  193M  187M 2491M|  30k   21k|   0   624k|   0  32.0 |2024  3099 |1.15 1.60 1.11|4.0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:20 ubuntu dstat.sh[82492]: 13-07 14:33:20|  8   1  88   2   0|4954M  187M  187M 2493M|  13k 5371 | 720k  528k|8.99  24.0 |1943  3204 |1.15 1.60 1.11|  0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:21 ubuntu dstat.sh[82492]: 13-07 14:33:21|  7   1  90   1   1|4954M  187M  187M 2493M|  20k   12k|  88k  556k|3.00  35.0 |2070  3126 |1.15 1.60 1.11|  0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:22 ubuntu dstat.sh[82492]: 13-07 14:33:22|  6   2  90   1   0|4955M  186M  187M 2493M|  16k 9116 | 140k  509k|1.00  32.0 |1940  3090 |1.15 1.60 1.11|2.0 1.0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:23 ubuntu dstat.sh[82492]: 13-07 14:33:23|  8   2  87   1   0|4955M  185M  187M 2494M|  22k 5850 | 184k  583k|3.00  25.0 |1927  2878 |1.15 1.60 1.11|1.0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:24 ubuntu dstat.sh[82492]: 13-07 14:33:24| 11   1  85   2   0|4956M  184M  187M 2494M|  35k   27k|  92k  692k|3.00  63.0 |2566  4060 |1.06 1.57 1.10|2.0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:25 ubuntu dstat.sh[82492]: 13-07 14:33:25|  9   1  88   1   0|4957M  182M  187M 2495M|  11k 3896 |   0   836k|   0  44.0 |1946  2927 |1.06 1.57 1.10|1.0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:26 ubuntu dstat.sh[82492]: 13-07 14:33:26| 13   1  84   0   0|4960M  178M  187M 2496M|  14k 4357 |   0   352k|   0  8.00 |1928  2810 |1.06 1.57 1.10|  0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:27 ubuntu dstat.sh[82492]: 13-07 14:33:27| 16   3  79   1   1|4962M  176M  187M 2496M|  14k 7462 |  68k  332k|2.00  9.01 |2367  9629 |1.06 1.57 1.10|  0   0  34|   0     0 |   0     0 | 25  298    0   25    2
Jul 13 14:33:28 ubuntu dstat.sh[82492]: 13-07 14:33:28| 11   2  86   1   0|4961M  176M  187M 2497M|  20k   12k|   0   416k|   0  28.0 |2123  3216 |1.06 1.57 1.10|  0   0 2.0|   0     0 |   0     0 | 25  298    0   25    2
Jul 13 14:33:29 ubuntu dstat.sh[82492]: 13-07 14:33:29| 12   2  85   1   1|4962M  174M  187M 2497M|  23k   13k|   0   884k|   0  46.0 |2023  3091 |1.05 1.56 1.10|  0   0   0|   0     0 |   0     0 | 25  298    0   25    2
Jul 13 14:33:30 ubuntu dstat.sh[82492]: 13-07 14:33:30|  6   1  90   1   0|4963M  174M  187M 2498M|  13k 4407 |  88k  480k|3.00  30.0 |1986  3151 |1.05 1.56 1.10|  0 1.0   0|   0     0 |   0     0 | 25  298    0   25    2
Jul 13 14:33:31 ubuntu dstat.sh[82492]: 13-07 14:33:31| 10   1  82   5   0|4963M  172M  187M 2498M|  22k   15k|  32k 5909k|1.00   539 |2856  3582 |1.05 1.56 1.10|  0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:32 ubuntu dstat.sh[82492]: 13-07 14:33:32| 13   1  82   1   0|4965M  170M  188M 2498M|  19k 8071 |   0   656k|   0  31.0 |2023  3086 |1.05 1.56 1.10|1.0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:33 ubuntu dstat.sh[82492]: 13-07 14:33:33| 11   1  86   0   0|4966M  170M  188M 2498M|  21k   11k|  20k  344k|2.00  16.0 |1843  2705 |1.05 1.56 1.10|  0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:34 ubuntu dstat.sh[82492]: 13-07 14:33:34| 15   1  81   2   0|4967M  168M  188M 2499M|  40k   21k| 416k  721k|3.00  53.0 |2455  3727 |0.97 1.53 1.10|1.0   0   0|   0     0 |   0     0 | 25  298    0   24    2
Jul 13 14:33:35 ubuntu dstat.sh[82492]: 13-07 14:33:35| 23   2  70   3   0|4968M  157M  188M 2508M|  17k 5807 |   0  1380k|   0  57.0 |2163  3160 |0.97 1.53 1.10|1.0   0   0|   0     0 |   0     0 | 25  298    0   23    2
Jul 13 14:33:36 ubuntu dstat.sh[82492]: 13-07 14:33:36| 17   5  70   6   0|4977M  188M  188M 2470M|9020  1868 |   0  1737k|   0  88.1 |2141  3073 |0.97 1.53 1.10|1.0   0   0|   0     0 |   0     0 | 25  298    0   23    2
Jul 13 14:33:37 ubuntu dstat.sh[82492]: 13-07 14:33:37| 22   3  71   5   0|4976M  181M  188M 2479M|  10k 1997 |   0  1883k|   0  74.0 |2134  3184 |0.97 1.53 1.10|  0 1.0   0|   0     0 |   0     0 | 25  298    0   21    2
Jul 13 14:33:38 ubuntu dstat.sh[82492]: 13-07 14:33:38| 19   4  71   6   0|4978M  170M  188M 2486M|  16k 8322 |  44k 2228k|2.00   108 |2470  3715 |0.97 1.53 1.10|1.0   0 2.0|   0     0 |   0     0 | 25  298    0   21    2
Jul 13 14:33:39 ubuntu dstat.sh[82492]: 13-07 14:33:39| 21   5  69   4   0|4975M  154M  189M 2505M|  21k   12k|   0  1714k|   0  66.9 |2155  3340 |0.97 1.52 1.10|3.0   0   0|   0     0 |   0     0 | 25  298    0   21    2
Jul 13 14:33:40 ubuntu dstat.sh[82492]: 13-07 14:33:40| 15   4  71   9   0|4980M  130M  189M 2523M|  10k 1996 |  13M 1350k| 117  48.9 |2159  3319 |0.97 1.52 1.10|1.0   0 1.0|   0     0 |   0     0 | 25  298    0   21    2
Jul 13 14:33:41 ubuntu dstat.sh[82492]: 13-07 14:33:41| 22   5  69   4   1|4936M  182M  189M 2517M|  19k 9426 |5085k   13M|48.0   177 |2441  3503 |0.97 1.52 1.10|1.0   0 4.0|   0     0 |   0     0 | 25  297    0   21    2
Jul 13 14:33:42 ubuntu dstat.sh[82492]: 13-07 14:33:42| 28   7  63   0   0|4957M  158M  189M 2518M|  17k 9552 |   0  1616k|   0  38.0 |9565    19k|0.97 1.52 1.10|3.0   0  10|   0     0 |   0     0 | 25  297    0   21    2
Jul 13 14:33:43 ubuntu dstat.sh[82492]: 13-07 14:33:43| 25   4  70   0   0|4940M  174M  189M 2519M|  11k 2872 |   0  1252k|   0  6.00 |1985  2658 |0.97 1.52 1.10|1.0   0 7.0|   0     0 |   0     0 | 25  297    0   18    2
Jul 13 14:33:44 ubuntu dstat.sh[82492]: 13-07 14:33:44| 29   2  67   1   0|4960M  155M  189M 2519M|  29k   20k|   0   568k|   0  43.0 |3711  6313 |0.97 1.51 1.09|1.0   0 6.0|   0     0 |   0     0 | 25  297    0   18    2
Jul 13 14:33:45 ubuntu dstat.sh[82492]: 13-07 14:33:45| 24   6  69   0   0|4944M  171M  189M 2519M|  12k 3593 |   0   821k|   0  49.1 |7253    15k|0.97 1.51 1.09|1.0   0 8.0|   0     0 |   0     0 | 25  297    0   17    2
Jul 13 14:33:46 ubuntu dstat.sh[82492]: 13-07 14:33:46| 26   4  70   0   0|4896M  219M  189M 2518M|  13k 5263 |   0  3842k|   0  75.7 |2234  3233 |0.97 1.51 1.09|2.0   0  11|   0     0 |   0     0 | 25  297    0   17    2
Jul 13 14:33:47 ubuntu dstat.sh[82492]: 13-07 14:33:47| 25   5  70   0   0|4926M  189M  189M 2518M|  12k 2019 |   0     0 |   0     0 |3339  5755 |0.97 1.51 1.09|2.0   0  48|   0     0 |   0     0 | 25  297    0   14    2
Jul 13 14:33:48 ubuntu dstat.sh[82492]: 13-07 14:33:48| 25   9  67   0   1|4938M  176M  189M 2519M|  18k 8701 |   0   417k|   0  13.0 |4553  9404 |0.97 1.51 1.09|2.0   0  10|   0     0 |   0     0 | 25  297    0   14    2
Jul 13 14:33:49 ubuntu dstat.sh[82492]: 13-07 14:33:49| 26   7  66   0   0|4959M  156M  189M 2519M|  17k 8192 |   0   351k|   0  22.9 |7640    17k|1.14 1.54 1.10|1.0   0  14|   0     0 |   0     0 | 25  297    0   14    2
Jul 13 14:33:50 ubuntu dstat.sh[82492]: 13-07 14:33:50| 25   7  67   0   0|4960M  155M  189M 2519M|  10k 1949 |   0    80k|   0  1.00 |8834    19k|1.14 1.54 1.10|1.0   0 7.0|   0     0 |   0     0 | 25  297    0   14    2
Jul 13 14:33:51 ubuntu dstat.sh[82492]: 13-07 14:33:51| 23   5  71   1   0|4918M  197M  189M 2519M|  17k 9321 |   0   345k|   0  26.1 |2329  3522 |1.14 1.54 1.10|1.0   0 9.0|   0     0 |   0     0 | 25  297    0   11    2
Jul 13 14:33:52 ubuntu dstat.sh[82492]: 13-07 14:33:52| 23   5  69   1   0|4938M  177M  189M 2519M|  14k 6991 |   0   519k|   0  35.9 |2173  3106 |1.14 1.54 1.10|1.0   0 8.0|   0     0 |   0     0 | 25  297    0   11    2
Jul 13 14:33:53 ubuntu dstat.sh[82492]: 13-07 14:33:53| 25   3  71   0   0|4942M  172M  189M 2519M|  10k 2112 |   0     0 |   0     0 |1998  2758 |1.14 1.54 1.10|1.0   0 3.0|   0     0 |   0     0 | 25  297    0   11    1
Jul 13 14:33:54 ubuntu dstat.sh[82492]: 13-07 14:33:54| 26   5  68   1   0|4904M  211M  189M 2519M|  46k   22k|   0   345k|   0  42.1 |2668  4077 |1.13 1.53 1.10|1.0   0  55|   0     0 |   0     0 | 25  297    0   11    1
Jul 13 14:33:55 ubuntu dstat.sh[82492]: 13-07 14:33:55| 25   5  67   0   0|4923M  183M  190M 2526M|  12k 2091 |   0   507k|   0  28.0 |8788    18k|1.13 1.53 1.10|2.0   0  48|   0     0 |   0     0 | 25  297    0   10    1
Jul 13 14:33:56 ubuntu dstat.sh[82492]: 13-07 14:33:56| 24   5  71   0   0|4936M  163M  190M 2534M|  13k 1890 |   0   781k|   0  9.01 |2660  4541 |1.13 1.53 1.10|1.0   0 2.0|   0     0 |   0     0 | 25  297    0   10    1
Jul 13 14:33:57 ubuntu dstat.sh[82492]: 13-07 14:33:57| 22   2  74   0   0|4940M  158M  190M 2534M|  11k 3761 |   0     0 |   0     0 |1891  2716 |1.13 1.53 1.10|  0   0 4.0|   0     0 |   0     0 | 25  297    1    9    1
Jul 13 14:33:58 ubuntu dstat.sh[82492]: 13-07 14:33:58|  7   3  89   0   0|4974M  123M  190M 2535M|  24k   11k|   0   892k|   0  22.0 |2122  3268 |1.13 1.53 1.10|3.0   0 4.0|   0     0 |   0     0 | 25  298    0    9    1
Jul 13 14:33:59 ubuntu dstat.sh[82492]: 13-07 14:33:59| 10   3  86   1   0|4949M  148M  190M 2535M|  22k   12k|   0   632k|   0  38.0 |2397  3589 |1.20 1.54 1.11|  0   0 2.0|   0     0 |   0     0 | 25  298    0    9    1
Jul 13 14:34:00 ubuntu dstat.sh[82492]: 13-07 14:34:00| 14   3  82   1   0|4951M  147M  190M 2535M|  12k 4705 |   0   692k|   0  20.0 |2033  3070 |1.20 1.54 1.11|1.0   0   0|   0     0 |   0     0 | 25  298    0    9    1
Jul 13 14:34:01 ubuntu dstat.sh[82492]: 13-07 14:34:01| 14   3  81   1   0|4951M  141M  190M 2540M|  34k   16k|   0  6727k|   0   401 |2941  3256 |1.20 1.54 1.11|1.0   0   0|   0     0 |   0     0 | 25  298    0    8    1
Jul 13 14:34:02 ubuntu dstat.sh[82492]: 13-07 14:34:02|  9   1  88   1   0|4951M  141M  190M 2541M|  29k   17k|   0   787k|   0  44.9 |2238  3276 |1.20 1.54 1.11|  0   0   0|   0     0 |   0     0 | 25  298    0    8    1
Jul 13 14:34:03 ubuntu dstat.sh[82492]: 13-07 14:34:03|  6   1  89   1   0|4952M  140M  190M 2541M|  18k 4941 |   0   312k|   0  9.00 |1932  2964 |1.20 1.54 1.11|  0   0   0|   0     0 |   0     0 | 25  298    0    8    1
Jul 13 14:34:04 ubuntu dstat.sh[82492]: 13-07 14:34:04| 10   2  86   1   0|4956M  136M  190M 2542M|  44k   24k|   0   635k|   0  54.9 |2427  3777 |1.26 1.55 1.11|  0   0   0|   0     0 |   0     0 | 25  298    0    8    1
Jul 13 14:34:05 ubuntu dstat.sh[82492]: 13-07 14:34:05|  8   2  88   1   0|4956M  135M  190M 2542M|  17k 7745 |   0  1006k|   0  58.1 |2104  3245 |1.26 1.55 1.11|  0   0   0|   0     0 |   0     0 | 25  298    0    8    1
Jul 13 14:34:06 ubuntu dstat.sh[82492]: 13-07 14:34:06|  7   1  92   1   0|4957M  134M  190M 2542M|  35k 5644 |   0   232k|   0  6.00 |1855  2693 |1.26 1.55 1.11|  0   0   0|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:07 ubuntu dstat.sh[82492]: 13-07 14:34:07|  4   1  94   0   0|4957M  134M  190M 2542M|  16k 3850 |   0    21M|   0  53.0 |1813  2644 |1.26 1.55 1.11|  0   0   0|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:08 ubuntu dstat.sh[82492]: 13-07 14:34:08|  5   1  92   0   0|4957M  134M  190M 2542M| 109k   11k|   0   776k|   0  30.0 |1985  3379 |1.26 1.55 1.11|  0   0 3.0|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:09 ubuntu dstat.sh[82492]: 13-07 14:34:09|  5   2  90   1   1|4958M  131M  190M 2544M|1031k   34k|   0  1617k|   0  50.0 |2582  3381 |1.24 1.54 1.11|  0   0   0|   0     0 |   0     0 | 25  299    0    9    1
Jul 13 14:34:10 ubuntu dstat.sh[82492]: 13-07 14:34:10|  8   1  89   1   0|4957M  131M  190M 2544M| 156k   14k|   0   408k|   0  9.00 |1843  2894 |1.24 1.54 1.11|  0   0 1.0|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:11 ubuntu dstat.sh[82492]: 13-07 14:34:11|  7   2  89   0   0|4957M  128M  190M 2548M|2081k   57k|   0   156k|   0  15.0 |3915  4418 |1.24 1.54 1.11|1.0   0 1.0|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:12 ubuntu dstat.sh[82492]: 13-07 14:34:12|  7   4  87   1   0|4960M  122M  190M 2550M|1165k   38k|   0    44M|   0   146 |3429  3993 |1.24 1.54 1.11|1.0   0   0|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:13 ubuntu dstat.sh[82492]: 13-07 14:34:13| 11   1  85   1   0|4960M  122M  190M 2550M|  62k   53k|   0   439k|   0  17.0 |2155  3296 |1.24 1.54 1.11|4.0   0   0|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:14 ubuntu dstat.sh[82492]: 13-07 14:34:14| 12   3  83   1   0|4961M  121M  190M 2550M|  92k   86k|   0   504k|   0  49.0 |3159  5701 |1.30 1.54 1.12|  0   0   0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:15 ubuntu dstat.sh[82492]: 13-07 14:34:15| 11   2  87   1   0|4962M  120M  190M 2551M|  13k 4835 |   0   480k|   0  23.0 |1863  2834 |1.30 1.54 1.12|1.0   0   0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:16 ubuntu dstat.sh[82492]: 13-07 14:34:16| 21   4  72   1   0|4992M  122M  190M 2521M|  15k 7096 |   0   456k|   0  14.0 |2034  2897 |1.30 1.54 1.12|2.0   0 3.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:17 ubuntu dstat.sh[82492]: 13-07 14:34:17| 27   6  66   0   0|4979M  146M  189M 2511M|  11k 4398 | 512k 2580k|4.00  48.0 |2226  3199 |1.30 1.54 1.12|1.0   0 8.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:18 ubuntu dstat.sh[82492]: 13-07 14:34:18| 29   4  65   1   0|4988M  137M  189M 2511M|  17k 9689 | 256k  416k|2.00  21.0 |2269  3321 |1.30 1.54 1.12|2.0   0 6.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:19 ubuntu dstat.sh[82492]: 13-07 14:34:19| 14   2  83   1   1|4969M  155M  189M 2511M|  30k   23k| 256k  600k|2.00  39.0 |2123  3120 |1.20 1.52 1.11|2.0   0 1.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:20 ubuntu dstat.sh[82492]: 13-07 14:34:20| 11   1  86   1   0|4971M  153M  189M 2512M|  12k 6012 |   0   408k|   0  15.0 |1934  2897 |1.20 1.52 1.11|  0   0   0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:21 ubuntu dstat.sh[82492]: 13-07 14:34:21|  9   1  89   1   0|4972M  152M  189M 2512M|  18k   11k|   0   444k|   0  21.0 |2113  3091 |1.20 1.52 1.11|1.0   0   0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:22 ubuntu dstat.sh[82492]: 13-07 14:34:22| 12   1  84   1   0|4974M  150M  189M 2512M|  19k   11k|   0   887k|   0  55.0 |2198  3452 |1.20 1.52 1.11|1.0   0   0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:23 ubuntu dstat.sh[82492]: 13-07 14:34:23| 10   1  87   0   0|4976M  147M  189M 2513M| 158k 7304 |4096B  264k|1.00  3.00 |1915  2738 |1.20 1.52 1.11|2.0   0   0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:24 ubuntu dstat.sh[82492]: 13-07 14:34:24| 10   2  86   2   0|4976M  146M  190M 2514M| 686k   39k|   0  1251k|   0  50.1 |3145  4417 |1.10 1.49 1.10|1.0   0 2.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:25 ubuntu dstat.sh[82492]: 13-07 14:34:25|  5   1  92   1   0|4975M  146M  190M 2514M| 103k 6562 |   0   934k|   0  44.9 |1977  3013 |1.10 1.49 1.10|  0   0 1.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:26 ubuntu dstat.sh[82492]: 13-07 14:34:26|  5   1  91   1   0|4975M  146M  190M 2514M| 126k 7870 |   0   552k|   0  18.0 |1904  2827 |1.10 1.49 1.10|  0   0 1.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:27 ubuntu dstat.sh[82492]: 13-07 14:34:27| 11   5  83   1   0|4974M  147M  190M 2515M| 212k   12k|   0    16M|   0  70.0 |2993  6978 |1.10 1.49 1.10|  0   0  36|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:28 ubuntu dstat.sh[82492]: 13-07 14:34:28|  6   1  90   0   0|4974M  147M  190M 2515M| 377k   19k|   0   592k|   0  21.0 |2337  3362 |1.10 1.49 1.10|1.0   0 4.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:29 ubuntu dstat.sh[82492]: 13-07 14:34:29| 11   3  84   1   0|4974M  154M  190M 2508M|1516k   40k|   0  1761k|   0  37.0 |3313  3964 |1.09 1.48 1.10|3.0   0 1.0|   0     0 |   0     0 | 25  299    0    8    1
Jul 13 14:34:30 ubuntu dstat.sh[82492]: 13-07 14:34:30|  4   1  92   1   0|4974M  153M  190M 2509M| 225k 9187 |4097B 1064k|1.00  22.0 |2105  3151 |1.09 1.48 1.10|  0   0 1.0|   0     0 |   0     0 | 25  299    0    7    1
Jul 13 14:34:31 ubuntu dstat.sh[82492]: 13-07 14:34:31|  7   3  86   0   0|4976M  145M  190M 2514M|2968k   55k|   0   212k|   0  23.0 |3934  4620 |1.09 1.48 1.10|  0   0  12|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:32 ubuntu dstat.sh[82492]: 13-07 14:34:32|  5   2  87   1   0|4976M  140M  190M 2520M|3186k   33k|   0    11M|   0   432 |3968  3822 |1.09 1.48 1.10|  0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:33 ubuntu dstat.sh[82492]: 13-07 14:34:33|  7   2  90   0   0|4976M  134M  190M 2526M|3453k   24k|   0     0 |   0     0 |2776  3012 |1.09 1.48 1.10|2.0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:34 ubuntu dstat.sh[82492]: 13-07 14:34:34|  8   3  85   1   0|4976M  144M  190M 2518M| 855k   29k|   0    10M|   0  64.0 |2616  3981 |1.00 1.46 1.10|  0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:35 ubuntu dstat.sh[82492]: 13-07 14:34:35|  9   1  88   1   0|4975M  144M  190M 2518M|  26k 6177 |   0   880k|   0  52.0 |2061  3316 |1.00 1.46 1.10|  0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:36 ubuntu dstat.sh[82492]: 13-07 14:34:36| 10   1  87   0   0|4976M  143M  190M 2518M|  62k 5496 |   0   360k|   0  8.99 |1808  2839 |1.00 1.46 1.10|1.0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:37 ubuntu dstat.sh[82492]: 13-07 14:34:37| 11   2  87   1   0|4977M  142M  190M 2518M|  39k 4462 |   0  1802k|   0  14.0 |1813  2704 |1.00 1.46 1.10|1.0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:38 ubuntu dstat.sh[82492]: 13-07 14:34:38| 15   1  80   1   0|4976M  142M  190M 2518M|  17k   11k|   0   604k|   0  38.0 |1986  3101 |1.00 1.46 1.10|3.0   0 2.0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:39 ubuntu dstat.sh[82492]: 13-07 14:34:39| 24   2  70   2   0|4975M  140M  190M 2521M|  30k   11k|   0   700k|   0  37.0 |2010  3016 |1.00 1.45 1.10|1.0   0   0|   0     0 |   0     0 | 25  301    0    8    1
Jul 13 14:34:40 ubuntu dstat.sh[82492]: 13-07 14:34:40| 18   4  71   6   0|4973M  126M  192M 2535M|9351  2140 |   0  2912k|   0  83.0 |2196  3192 |1.00 1.45 1.10|3.0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:41 ubuntu dstat.sh[82492]: 13-07 14:34:41| 20   6  70   2   0|4975M  121M  193M 2538M|  18k 9225 |   0  2578k|   0  67.2 |2236  3505 |1.00 1.45 1.10|1.0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:42 ubuntu dstat.sh[82492]: 13-07 14:34:42| 19   5  69   5   0|4985M  190M  192M 2462M|  17k 8345 |   0  6086k|   0  99.8 |2275  3566 |1.00 1.45 1.10|2.0   0 1.0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:43 ubuntu dstat.sh[82492]: 13-07 14:34:43| 20   5  70   4   0|4986M  176M  193M 2474M|8826  2167 |   0  1560k|   0  54.0 |2036  2973 |1.00 1.45 1.10|1.0   0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:44 ubuntu dstat.sh[82492]: 13-07 14:34:44| 21   5  69   4   0|4984M  145M  194M 2507M|  28k   21k|   0  2044k|   0  89.0 |2559  4181 |1.16 1.48 1.11|  0 1.0   0|   0     0 |   0     0 | 25  301    0    7    1
Jul 13 14:34:45 ubuntu dstat.sh[82492]: 13-07 14:34:45| 22   3  71   4   0|4984M  135M  194M 2516M|  12k 3000 |   0  1907k|   0  91.1 |2140  3310 |1.16 1.48 1.11|1.0   0   0|   0     0 |   0     0 | 25  301    0    7    1
