-- Logs begin at Tue 2023-01-10 23:34:18 UTC, end at Wed 2023-01-11 20:21:55 UTC. --
Jan 11 19:41:29 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jan 11 19:41:29 ubuntu dstat.sh[90415]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jan 11 19:41:29 ubuntu dstat.sh[90415]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jan 11 19:49:12 ubuntu dstat.sh[90415]: 11-01 19:49:12| 26   3  67   3   0|3295M  155M  212M 4095M| 377k  363k|   0   901k|   0   129 |3662  7339 |1.53 1.80 1.13|2.0   0   0|   0     0 |   0     0 | 21  100    0   38    0
Jan 11 19:49:13 ubuntu dstat.sh[90415]: 11-01 19:49:13| 26   5  66   2   0|3235M  216M  212M 4095M| 241k  233k|   0  2385k|   0   175 |3440  5832 |1.53 1.80 1.13|2.0   0  55|   0     0 |   0     0 | 21  102    0   39    0
Jan 11 19:49:14 ubuntu dstat.sh[90415]: 11-01 19:49:14| 22   4  72   0   0|3279M  172M  212M 4095M|8554  1620 |   0   648k|   0  31.0 |1513  2135 |1.53 1.80 1.13|3.0   0 1.0|   0     0 |   0     0 | 21  102    0   39    0
Jan 11 19:49:15 ubuntu dstat.sh[90415]: 11-01 19:49:15| 24   4  71   0   0|3297M  153M  212M 4095M| 277k  267k|   0  2785k|   0   173 |2641  4757 |1.53 1.80 1.13|2.0   0   0|   0     0 |   0     0 | 21  104    0   40    0
Jan 11 19:49:16 ubuntu dstat.sh[90415]: 11-01 19:49:16| 28   2  67   2   0|3303M  148M  212M 4095M| 599k  592k|   0  1017k|   0   123 |3136  5494 |1.53 1.80 1.13|2.0 1.0   0|   0     0 |   0     0 | 21  104    0   40    0
Jan 11 19:49:17 ubuntu dstat.sh[90415]: 11-01 19:49:17| 34   3  60   2   0|3255M  195M  212M 4095M| 567k  559k|   0   939k|   0   104 |3103  5050 |1.88 1.87 1.15|2.0   0 1.0|   0     0 |   0     0 | 21  102    0   41    0
Jan 11 19:49:18 ubuntu dstat.sh[90415]: 11-01 19:49:18| 22   6  72   0   0|3285M  165M  212M 4096M|9215  1512 |   0   704k|   0  32.0 |1804  2728 |1.88 1.87 1.15|1.0   0  71|   0     0 |   0     0 | 21  102    0   41    0
Jan 11 19:49:19 ubuntu dstat.sh[90415]: 11-01 19:49:19| 25   3  72   0   0|3310M  140M  212M 4096M| 117k  111k|   0   400k|   0  18.0 |1685  2827 |1.88 1.87 1.15|2.0   0   0|   0     0 |   0     0 | 21  105    0   41    0
Jan 11 19:49:20 ubuntu dstat.sh[90415]: 11-01 19:49:20| 25   3  68   2   0|3320M  130M  212M 4096M| 326k  319k|   0  1063k|   0   130 |3455  6250 |1.88 1.87 1.15|2.0   0 3.0|   0     0 |   0     0 | 21  103    0   42    0
Jan 11 19:49:21 ubuntu dstat.sh[90415]: 11-01 19:49:21| 18   9  70   1   0|3280M  168M  212M 4097M|  13k 4163 |1192k  424k|16.0  25.0 |2104  3254 |1.88 1.87 1.15|2.0   0 148|   0     0 |   0     0 | 21  103    0   42    0
Jan 11 19:49:22 ubuntu dstat.sh[90415]: 11-01 19:49:22| 24   3  72   0   0|3319M  129M  212M 4097M|  89k   82k|   0   420k|   0  28.0 |1774  2888 |1.81 1.86 1.15|2.0   0   0|   0     0 |   0     0 | 21  103    0   37    0
Jan 11 19:49:23 ubuntu dstat.sh[90415]: 11-01 19:49:23| 26   3  70   1   1|3326M  123M  212M 4097M| 451k  445k|   0  1774k|   0   126 |2947  4919 |1.81 1.86 1.15|2.0   0   0|   0     0 |   0     0 | 21  105    0   38    0
Jan 11 19:49:24 ubuntu dstat.sh[90415]: 11-01 19:49:24| 27   2  69   1   0|3335M  135M  212M 4076M| 606k  598k|4101B  917k|1.00   118 |3043  5152 |1.81 1.86 1.15|2.0   0   0|   0     0 |   0     0 | 21  105    0   37    0
Jan 11 19:49:25 ubuntu dstat.sh[90415]: 11-01 19:49:25| 39   8  53   1   0|3273M  197M  212M 4076M| 678k  671k|  76k  936k|5.00  93.0 |3251  5339 |1.81 1.86 1.15|2.0   0  86|   0     0 |   0     0 | 21  103    0   38    0
Jan 11 19:49:26 ubuntu dstat.sh[90415]: 11-01 19:49:26| 38  11  47   2   0|3303M  167M  212M 4077M| 511k  503k| 595k 1114k|20.0   114 |4229  7467 |1.81 1.86 1.15|1.0   0 205|   0     0 |   0     0 | 21  103    0   35    0
Jan 11 19:49:27 ubuntu dstat.sh[90415]: 11-01 19:49:27| 23   4  72   0   0|3342M  128M  212M 4077M|  47k   40k|   0   856k|   0  53.0 |1974  3148 |1.83 1.86 1.16|1.0   0   0|   0     0 |   0     0 | 21  104    0   35    0
Jan 11 19:49:28 ubuntu dstat.sh[90415]: 11-01 19:49:28| 23   5  70   0   0|3275M  194M  212M 4077M| 215k  208k|   0   852k|   0  55.0 |2732  4540 |1.83 1.86 1.16|1.0   0  56|   0     0 |   0     0 | 21  103    0   35    0
Jan 11 19:49:29 ubuntu dstat.sh[90415]: 11-01 19:49:29| 10  19  68   0   0|3275M  194M  212M 4077M|6893  2301 |   0   892k|   0  44.0 |3202  5383 |1.83 1.86 1.16|2.0   0 364|   0     0 |   0     0 | 21  103    0   35    0
Jan 11 19:49:30 ubuntu dstat.sh[90415]: 11-01 19:49:30| 17  16  64   2   0|3278M  191M  212M 4078M|7750  1620 | 868k  660k|14.0  31.0 |3674  6629 |1.83 1.86 1.16|1.0   0 207|   0     0 |   0     0 | 21  103    0   29    0
Jan 11 19:49:31 ubuntu dstat.sh[90415]: 11-01 19:49:31| 24  18  55   0   0|3302M  164M  212M 4078M|7821  1662 |   0  3348k|   0   149 |4468  7608 |1.83 1.86 1.16|3.0   0 177|   0     0 |   0     0 | 21  103    0   29    0
Jan 11 19:49:32 ubuntu dstat.sh[90415]: 11-01 19:49:32| 36  26  35   1   0|3357M  175M  212M 4015M|  10k 2553 | 144k  180k|6.00  15.0 |3275  5841 |2.08 1.91 1.18|3.0   0 399|   0     0 |   0     0 | 21  103    0   24    0
Jan 11 19:49:33 ubuntu dstat.sh[90415]: 11-01 19:49:33| 37  20  43   0   0|3386M  144M  212M 4016M|  13k 3125 |   0   176k|   0  15.0 |4298  7566 |2.08 1.91 1.18|1.0   0 215|   0     0 |   0     0 | 21  105    0   24    0
Jan 11 19:49:34 ubuntu dstat.sh[90415]: 11-01 19:49:34| 49  26  21   2   0|3510M  127M  212M 3913M| 155k  147k| 288k 1040k|20.0  59.0 |7333    14k|2.08 1.91 1.18|3.0   0 342|   0     0 |   0     0 | 23  115    0   24    0
Jan 11 19:49:35 ubuntu dstat.sh[90415]: 11-01 19:49:35| 54  24  21   1   0|3596M  125M  212M 3830M|  11k 2897 | 180k  380k|14.0  25.0 |3631  6582 |2.08 1.91 1.18|3.0   0 482|   0     0 |   0     0 | 23  115    0   24    0
Jan 11 19:49:36 ubuntu dstat.sh[90415]: 11-01 19:49:36| 61  19  13   5   0|3665M  134M  211M 3754M|  18k 2675 |  92k 8341k|5.98   572 |7598    12k|2.08 1.91 1.18|6.0 3.0 132|   0     0 |   0     0 | 23  115    0   24    0
Jan 11 19:49:37 ubuntu dstat.sh[90415]: 11-01 19:49:37| 59  23  12   6   0|3722M  135M  211M 3700M|  67k   61k| 477k 5652k|34.1   446 |5574    15k|2.56 2.02 1.22|3.0   0 506|   0     0 |   0     0 | 23  131    0   24    0
Jan 11 19:49:38 ubuntu dstat.sh[90415]: 11-01 19:49:38| 30  24  41   4   0|3764M  130M  210M 3664M|  11k 4228 | 264k  423k|14.0  24.0 |3533  5950 |2.56 2.02 1.22|5.0   0 379|   0     0 |   0     0 | 23  131    0   24    0
Jan 11 19:49:39 ubuntu dstat.sh[90415]: 11-01 19:49:39| 41  18  38   0   0|3791M  126M  210M 3641M|  17k 8818 |4101B  425k|1.00  27.0 |4706  9172 |2.56 2.02 1.22|3.0   0 167|   0     0 |   0     0 | 23  131    0   24    0
Jan 11 19:49:40 ubuntu dstat.sh[90415]: 11-01 19:49:40| 32  20  47   1   0|3835M  132M  209M 3595M|9425  2871 | 156k  372k|4.00  23.0 |3558  6398 |2.56 2.02 1.22|2.0   0 259|   0     0 |   0     0 | 24  131    0   17    0
Jan 11 19:49:41 ubuntu dstat.sh[90415]: 11-01 19:49:41| 33  23  42   0   0|3883M  130M  209M 3550M|9327  1941 | 389k  373k|25.8  24.8 |4011  7191 |2.56 2.02 1.22| 18   0 381|   0     0 |   0     0 | 24  131    0   17    0
Jan 11 19:49:42 ubuntu dstat.sh[90415]: 11-01 19:49:42| 45  19  35   1   0|3918M  127M  208M 3519M|  40k   33k|  61k  206k|2.02  10.1 |4046  7973 |2.51 2.01 1.22|3.0 1.0 143|   0     0 |   0     0 | 24  132    0   16    0
Jan 11 19:49:43 ubuntu dstat.sh[90415]: 11-01 19:49:43| 47  27  24   0   0|4013M  148M  208M 3407M| 115k  108k| 176k  604k|5.00  39.0 |5374    12k|2.51 2.01 1.22|2.0 2.0 480|   0     0 |   0     0 | 24  143    0   16    0
Jan 11 19:49:44 ubuntu dstat.sh[90415]: 11-01 19:49:44| 33  22  43   0   0|4052M  125M  208M 3392M|  21k   15k| 204k  435k|6.99  36.9 |3627  6147 |2.51 2.01 1.22|2.0   0 406|   0     0 |   0     0 | 24  149    0   16    0
Jan 11 19:49:45 ubuntu dstat.sh[90415]: 11-01 19:49:45| 36  22  39   0   0|4113M  131M  207M 3329M| 123k  118k|  48k  615k|2.99  33.9 |4445  8274 |2.51 2.01 1.22|3.0   0 379|   0     0 |   0     0 | 24  157    0   16    0
Jan 11 19:49:46 ubuntu dstat.sh[90415]: 11-01 19:49:46| 23  20  54   1   0|4111M  132M  207M 3329M|  14k 7390 |  16k  277k|1.00  16.0 |6318    14k|2.51 2.01 1.22|1.0   0 173|   0     0 |   0     0 | 24  157    0   16    0
Jan 11 19:49:47 ubuntu dstat.sh[90415]: 11-01 19:49:47| 31  18  48   3   0|4163M  127M  206M 3284M|7860  1712 |1622k 2879k|33.0   256 |3968  6902 |2.47 2.01 1.23|3.0 1.0 131|   0     0 |   0     0 | 24  157    0   16    0
Jan 11 19:49:48 ubuntu dstat.sh[90415]: 11-01 19:49:48| 35   7  46  11   0|4229M  117M  205M 3230M|  16k 9998 |1315k 6250k|45.0   457 |3365  3678 |2.47 2.01 1.23|1.0 2.0 1.0|   0     0 |   0     0 | 24  157    0   16    0
Jan 11 19:49:49 ubuntu dstat.sh[90415]: 11-01 19:49:49| 39   7  46   7   0|4298M  125M  204M 3156M|  15k 7620 | 620k  244k|54.0  23.0 |2219  3070 |2.47 2.01 1.23|5.0   0   0|   0     0 |   0     0 | 24  157    0   16    0
Jan 11 19:49:50 ubuntu dstat.sh[90415]: 11-01 19:49:50| 41   8  45   4   0|4358M  148M  204M 3079M|  13k 7760 |1473k   92k|95.1  10.0 |2186  3085 |2.47 2.01 1.23|3.0   0 4.0|   0     0 |   0     0 | 24  159    0   16    0
Jan 11 19:49:51 ubuntu dstat.sh[90415]: 11-01 19:49:51| 43  15  37   4   0|4277M  226M  204M 3081M| 137k  130k|1996k  560k|64.0  29.0 |5021    11k|2.47 2.01 1.23|3.0 1.0 263|   0     0 |   0     0 | 24  163    0   16    0
Jan 11 19:49:52 ubuntu dstat.sh[90415]: 11-01 19:49:52| 45  27  23   4   1|4330M  166M  204M 3088M|9280  1620 |4177k   48k|71.0  12.0 |4644  8932 |2.51 2.03 1.24|3.0   0 520|   0     0 |   0     0 | 24  163    0   15    0
Jan 11 19:49:53 ubuntu dstat.sh[90415]: 11-01 19:49:53| 49  25  26   1   0|4328M  165M  204M 3091M| 181k  172k| 596k  604k|13.0  33.0 |5325    12k|2.51 2.03 1.24|3.0   0 239|   0     0 |   0     0 | 24  181    0   16    0
Jan 11 19:49:54 ubuntu dstat.sh[90415]: 11-01 19:49:54| 66  22  11   0   0|4339M  193M  204M 3054M| 207k  200k| 255k   11M|21.9   593 |5692  8773 |2.51 2.03 1.24|5.0   0 179|   0     0 |   0     0 | 24  180    0   15    0
Jan 11 19:49:55 ubuntu dstat.sh[90415]: 11-01 19:49:55| 82  17   1   1   0|4474M  141M  204M 2974M|  17k   11k| 281k  542k|10.0  29.1 |2516  4236 |2.51 2.03 1.24|8.0   0  37|   0     0 |   0     0 | 24  184    0   15    0
Jan 11 19:49:56 ubuntu dstat.sh[90415]: 11-01 19:49:56| 68  18   6   7   0|4541M  138M  204M 2913M| 276k  268k|1052k  912k|54.0  42.0 |4282  8308 |2.51 2.03 1.24|3.0 2.0  46|   0     0 |   0     0 | 24  191    0   14    0
Jan 11 19:49:57 ubuntu dstat.sh[90415]: 11-01 19:49:57| 56  16  13  15   0|4525M  142M  204M 2924M| 120k  103k|4267k 1273k| 334  58.0 |8140    35k|2.63 2.06 1.25|4.0 1.0  32|   0     0 |   0     0 | 24  200    0   14    0
Jan 11 19:49:58 ubuntu dstat.sh[90415]: 11-01 19:49:58| 62   9  11  17   0|4575M  117M  205M 2900M| 381k  362k| 757k   19M| 110   690 |7337    14k|2.63 2.06 1.25|8.0 1.0 4.0|   0     0 |   0     0 | 24  209    0   14    0
Jan 11 19:49:59 ubuntu dstat.sh[90415]: 11-01 19:49:59| 55  14  28   1   0|4600M  124M  205M 2871M| 547k  532k|8216B 1569k|1.00   185 |6138    15k|2.63 2.06 1.25|4.0   0 199|   0     0 |   0     0 | 24  207    0   19    0
Jan 11 19:50:00 ubuntu dstat.sh[90415]: 11-01 19:50:00| 33  22  43   1   1|4573M  152M  205M 2872M|  23k   15k| 204k  656k|27.0  49.0 |3826  7800 |2.63 2.06 1.25|3.0   0 360|   0     0 |   0     0 | 24  208    0   18    0
Jan 11 19:50:01 ubuntu dstat.sh[90415]: 11-01 19:50:01| 44  20  35   0   0|4608M  127M  205M 2860M|  97k   88k| 212k  584k|2.00  40.0 |4827  9811 |2.63 2.06 1.25|3.0   0 147|   0     0 |   0     0 | 24  208    0   18    0
Jan 11 19:50:02 ubuntu dstat.sh[90415]: 11-01 19:50:02| 56  22  19   1   0|4660M  128M  205M 2811M| 212k  201k| 215k  848k|26.9  52.8 |4764  9014 |2.74 2.10 1.27|4.0   0 460|   0     0 |   0     0 | 24  208    0   18    0
Jan 11 19:50:03 ubuntu dstat.sh[90415]: 11-01 19:50:03| 60  20  18   2   0|4691M  123M  205M 2787M|  21k 9482 | 808k  366k|39.2  20.1 |4736  9466 |2.74 2.10 1.27|4.0   0 129|   0     0 |   0     0 | 24  209    0   17    0
Jan 11 19:50:04 ubuntu dstat.sh[90415]: 11-01 19:50:04| 62  24  12   1   0|4740M  133M  205M 2729M| 339k  330k| 535k 2617k|47.9   167 |7780    16k|2.74 2.10 1.27|3.0   0 384|   0     0 |   0     0 | 24  214    0   21    0
Jan 11 19:50:05 ubuntu dstat.sh[90415]: 11-01 19:50:05| 58  22  19   0   0|4757M  140M  204M 2705M|8270  1620 | 140k  252k|5.00  16.0 |3995  7959 |2.74 2.10 1.27|5.0   0 253|   0     0 |   0     0 | 24  214    0   20    0
Jan 11 19:50:06 ubuntu dstat.sh[90415]: 11-01 19:50:06| 66  21  11   1   0|4834M  136M  204M 2637M| 158k  150k| 380k  460k|24.0  25.0 |5180    14k|2.74 2.10 1.27|6.0   0 200|   0     0 |   0     0 | 24  224    0   21    0
Jan 11 19:50:07 ubuntu dstat.sh[90415]: 11-01 19:50:07| 67  10  23   0   0|4864M  151M  204M 2593M| 199k  191k|  48k  500k|2.00  43.0 |3020  5581 |2.84 2.13 1.28|5.0   0  11|   0     0 |   0     0 | 24  224    0   21    0
Jan 11 19:50:08 ubuntu dstat.sh[90415]: 11-01 19:50:08| 64  12  21   1   0|4963M  120M  203M 2530M| 110k   99k| 348k  324k|9.00  32.0 |2835  3895 |2.84 2.13 1.28|3.0   0 4.0|   0     0 |   0     0 | 24  228    0   21    0
Jan 11 19:50:09 ubuntu dstat.sh[90415]: 11-01 19:50:09| 65  10  20   2   0|4998M  148M  203M 2475M| 523k  517k|1266k   11M|50.8   902 |6118  8801 |2.84 2.13 1.28|6.0   0  36|   0     0 |   0     0 | 24  237    0   23    0
Jan 11 19:50:10 ubuntu dstat.sh[90415]: 11-01 19:50:10| 68  14  16   3   0|5029M  138M  203M 2454M| 100k   85k| 502k  740k|42.2  61.3 |4482    17k|2.84 2.13 1.28|3.0   0  20|   0     0 |   0     0 | 24  242    0   27    0
Jan 11 19:50:11 ubuntu dstat.sh[90415]: 11-01 19:50:11| 53  19  24   2   0|4979M  188M  203M 2454M| 257k  248k| 372k  632k|15.0  50.0 |4518  9092 |2.84 2.13 1.28|3.0   0 389|   0     0 |   0     0 | 24  246    0   26    0
Jan 11 19:50:12 ubuntu dstat.sh[90415]: 11-01 19:50:12| 53  24  22   0   0|4934M  233M  203M 2455M|  56k   46k| 256k 1099k|2.00  72.9 |4211  9465 |2.94 2.16 1.30|4.0   0 382|   0     0 |   0     0 | 24  248    0   26    0
Jan 11 19:50:13 ubuntu dstat.sh[90415]: 11-01 19:50:13| 61  19  19   1   0|4998M  167M  203M 2455M|  46k   39k| 344k  600k|6.00  36.0 |4622  9808 |2.94 2.16 1.30|6.0   0 104|   0     0 |   0     0 | 25  245    0   27    0
Jan 11 19:50:14 ubuntu dstat.sh[90415]: 11-01 19:50:14| 71  14  10   5   0|5034M  156M  203M 2434M| 254k  249k|8503k 4056k|99.0   235 |5278  8738 |2.94 2.16 1.30|4.0   0 126|   0     0 |   0     0 | 25  249    0   27    0
Jan 11 19:50:15 ubuntu dstat.sh[90415]: 11-01 19:50:15| 66  18   4  10   0|5102M  166M  202M 2360M|8314  1679 |5752k  901k| 155  45.0 |4065  7197 |2.94 2.16 1.30|2.0 2.0 112|   0     0 |   0     0 | 25  249    0   26    0
Jan 11 19:50:16 ubuntu dstat.sh[90415]: 11-01 19:50:16| 78  13   4   4   0|5187M  141M  200M 2306M| 242k  235k|1226k  553k|85.2  30.1 |3448  6144 |2.94 2.16 1.30|5.0   0 8.0|   0     0 |   0     0 | 25  253    0   26    0
Jan 11 19:50:17 ubuntu dstat.sh[90415]: 11-01 19:50:17| 70  16  11   2   0|5170M  156M  200M 2307M|  58k   53k| 743k  815k|33.0  55.9 |4473  8385 |3.02 2.19 1.31|3.0   0 193|   0     0 |   0     0 | 25  248    0   26    0
Jan 11 19:50:18 ubuntu dstat.sh[90415]: 11-01 19:50:18| 45   8  45   0   0|5208M  142M  198M 2285M| 107k   95k| 384k  356k|10.0  29.0 |2703  4371 |3.02 2.19 1.31|3.0   0  14|   0     0 |   0     0 | 25  251    0   26    0
Jan 11 19:50:19 ubuntu dstat.sh[90415]: 11-01 19:50:19| 44   6  46   3   1|5142M  218M  198M 2278M| 210k  201k| 256k 9517k|2.00   862 |4011  5673 |3.02 2.19 1.31|3.0   0 6.0|   0     0 |   0     0 | 25  252    0   25    0
Jan 11 19:50:20 ubuntu dstat.sh[90415]: 11-01 19:50:20| 45   9  44   2   0|5176M  183M  198M 2278M|  21k   12k| 268k  456k|5.00  48.0 |2457  3423 |3.02 2.19 1.31|5.0   0  12|   0     0 |   0     0 | 25  254    0   25    0
Jan 11 19:50:21 ubuntu dstat.sh[90415]: 11-01 19:50:21| 44   8  46   0   0|5195M  164M  198M 2278M| 116k   94k| 259k  411k|2.99  39.9 |2624  4020 |3.02 2.19 1.31|4.0   0 5.0|   0     0 |   0     0 | 25  254    0   25    0
Jan 11 19:50:22 ubuntu dstat.sh[90415]: 11-01 19:50:22| 38   7  54   0   0|5128M  231M  198M 2278M| 250k  194k| 257k  425k|2.00  38.1 |3533  5644 |3.02 2.20 1.32|3.0   0  42|   0     0 |   0     0 | 25  253    0   26    0
Jan 11 19:50:23 ubuntu dstat.sh[90415]: 11-01 19:50:23| 23   4  72   0   0|5126M  233M  198M 2278M| 277k   10k| 256k  216k|2.00  11.0 |2028  2778 |3.02 2.20 1.32|2.0   0 3.0|   0     0 |   0     0 | 25  253    0   27    0
Jan 11 19:50:24 ubuntu dstat.sh[90415]: 11-01 19:50:24| 24   6  69   1   0|5135M  223M  198M 2279M|1043k   25k| 256k  756k|2.00  54.0 |2806  3522 |3.02 2.20 1.32|2.0   0 5.0|   0     0 |   0     0 | 25  253    0   27    0
Jan 11 19:50:25 ubuntu dstat.sh[90415]: 11-01 19:50:25| 23   6  71   0   0|5139M  217M  198M 2280M| 916k 8848 | 256k  112k|2.00  10.0 |2571  2877 |3.02 2.20 1.32|2.0   0 4.0|   0     0 |   0     0 | 25  253    0   26    0
Jan 11 19:50:26 ubuntu dstat.sh[90415]: 11-01 19:50:26| 24   5  70   0   0|5129M  227M  198M 2281M| 963k   12k| 256k    0 |2.00     0 |2484  3101 |3.02 2.20 1.32|2.0   0 4.0|   0     0 |   0     0 | 25  253    0   26    0
Jan 11 19:50:27 ubuntu dstat.sh[90415]: 11-01 19:50:27| 23   5  70   0   0|5135M  220M  198M 2282M|1052k   45k| 256k  296k|2.00  26.0 |2858  3636 |2.86 2.18 1.32|3.0   0 4.0|   0     0 |   0     0 | 25  255    0   25    0
Jan 11 19:50:28 ubuntu dstat.sh[90415]: 11-01 19:50:28| 23   5  70   0   0|5135M  219M  198M 2283M|1109k   18k| 256k  240k|2.00  22.0 |2739  3297 |2.86 2.18 1.32|2.0   0 4.0|   0     0 |   0     0 | 25  255    0   25    0
Jan 11 19:50:29 ubuntu dstat.sh[90415]: 11-01 19:50:29| 26   4  69   1   0|5139M  214M  198M 2284M|1529k   38k| 292k  244k|7.00  24.0 |3214  3802 |2.86 2.18 1.32|2.0   0 5.0|   0     0 |   0     0 | 25  255    0   24    0
Jan 11 19:50:30 ubuntu dstat.sh[90415]: 11-01 19:50:30| 24   5  69   1   0|5142M  209M  198M 2286M|1351k   18k| 256k  216k|2.00  18.0 |3042  3523 |2.86 2.18 1.32|2.0   0 6.0|   0     0 |   0     0 | 25  255    0   24    0
Jan 11 19:50:31 ubuntu dstat.sh[90415]: 11-01 19:50:31| 24   6  69   0   0|5149M  200M  198M 2287M|1510k   56k| 256k  300k|2.00  26.0 |3347  4073 |2.86 2.18 1.32|2.0   0 5.0|   0     0 |   0     0 | 25  258    0   24    0
Jan 11 19:50:32 ubuntu dstat.sh[90415]: 11-01 19:50:32| 23   5  71   0   0|5147M  202M  198M 2288M|1593k   17k| 256k  204k|2.00  12.0 |2796  3151 |2.95 2.21 1.33|2.0   0 4.0|   0     0 |   0     0 | 25  258    0   24    0
Jan 11 19:50:33 ubuntu dstat.sh[90415]: 11-01 19:50:33| 37   9  53   0   0|5143M  204M  198M 2291M|2109k   12k| 256k  332k|2.00  22.0 |3127  3057 |2.95 2.21 1.33|2.0   0 7.0|   0     0 |   0     0 | 25  258    0   24    0
Jan 11 19:50:34 ubuntu dstat.sh[90415]: 11-01 19:50:34| 25   5  69   0   0|5156M  189M  198M 2292M|1803k   22k| 256k  268k|2.00  24.0 |3166  3452 |2.95 2.21 1.33|2.0   0 4.0|   0     0 |   0     0 | 25  258    0   24    0
Jan 11 19:50:35 ubuntu dstat.sh[90415]: 11-01 19:50:35| 12   5  83   0   0|5128M  215M  198M 2294M|1796k   20k| 256k  244k|2.00  23.0 |3220  3824 |2.95 2.21 1.33|2.0   0  57|   0     0 |   0     0 | 25  257    0   24    1
Jan 11 19:50:36 ubuntu dstat.sh[90415]: 11-01 19:50:36| 11   9  69   9   0|5137M  203M  198M 2296M|  11k 3859 |1982k  132k|23.0  9.99 |2766  4654 |2.95 2.21 1.33|3.0   0 192|   0     0 |   0     0 | 25  257    0   24    0
Jan 11 19:50:37 ubuntu dstat.sh[90415]: 11-01 19:50:37| 23   5  71   0   0|5180M  161M  198M 2296M|  13k 6029 |   0   324k|   0  29.0 |2050  3301 |2.79 2.19 1.33|2.0   0 1.0|   0     0 |   0     0 | 25  257    0   24    0
Jan 11 19:50:38 ubuntu dstat.sh[90415]: 11-01 19:50:38| 25   4  70   0   0|5194M  146M  198M 2296M| 241k  234k|  48k  224k|9.00  25.0 |2844  5287 |2.79 2.19 1.33|2.0   0   0|   0     0 |   0     0 | 25  263    0   25    0
Jan 11 19:50:39 ubuntu dstat.sh[90415]: 11-01 19:50:39| 27   3  68   1   0|5195M  145M  198M 2296M| 529k  524k|  28k  332k|4.00  35.0 |3432  7948 |2.79 2.19 1.33|2.0   0   0|   0     0 |   0     0 | 25  262    0   25    0
Jan 11 19:50:40 ubuntu dstat.sh[90415]: 11-01 19:50:40| 26   6  65   1   0|5217M  122M  198M 2296M|  11M   11M|  72k  552k|8.00  54.0 |3572  8077 |2.79 2.19 1.33|1.0   0 5.0|   0     0 |   0     0 | 25  268    0   26    0
Jan 11 19:50:41 ubuntu dstat.sh[90415]: 11-01 19:50:41| 27   5  68   1   0|5224M  162M  198M 2251M| 411k  403k|   0   756k|   0  84.1 |4256  8291 |2.79 2.19 1.33|2.0   0 3.0|   0     0 |   0     0 | 25  271    0   26    0
Jan 11 19:50:42 ubuntu dstat.sh[90415]: 11-01 19:50:42| 31   8  60   1   0|5224M  130M  198M 2282M|  56M   56M|  56k   16M|5.00  51.0 |4760  9539 |2.89 2.22 1.34|1.0   0  22|   0     0 |   0     0 | 25  276    0   33    0
Jan 11 19:50:43 ubuntu dstat.sh[90415]: 11-01 19:50:43| 16  14  68   1   0|5159M  211M  198M 2267M|  43k   35k|  92k  411k|11.0  33.0 |3297  5419 |2.89 2.22 1.34|1.0   0 270|   0     0 |   0     0 | 25  271    0   36    0
Jan 11 19:50:44 ubuntu dstat.sh[90415]: 11-01 19:50:44| 21   9  69   1   0|5192M  178M  198M 2267M|  18k   11k|   0   340k|   0  28.0 |2893  4884 |2.89 2.22 1.34|1.0   0 196|   0     0 |   0     0 | 25  271    0   36    0
Jan 11 19:50:45 ubuntu dstat.sh[90415]: 11-01 19:50:45| 23   5  72   0   0|5226M  144M  198M 2267M|  23k   15k|   0   596k|   0  68.0 |2369  3607 |2.89 2.22 1.34|1.0   0  22|   0     0 |   0     0 | 25  277    1   37    0
Jan 11 19:50:46 ubuntu dstat.sh[90415]: 11-01 19:50:46|  2   2  95   0   0|5226M  143M  198M 2267M|9494  2980 |   0   223k|   0  15.0 |1676  2663 |2.89 2.22 1.34|  0   0   0|   0     0 |   0     0 | 25  278    0   37    0
Jan 11 19:50:47 ubuntu dstat.sh[90415]: 11-01 19:50:47| 14  12  72   0   0|5160M  209M  198M 2267M|  17k 7356 |   0  1003k|   0  77.2 |3104  5111 |2.98 2.25 1.36|1.0   0 202|   0     0 |   0     0 | 25  277    0   37    0
Jan 11 19:50:48 ubuntu dstat.sh[90415]: 11-01 19:50:48| 11  19  68   1   0|5160M  209M  198M 2267M|  17k 9174 |4090B  256k|1.00  26.0 |3651  6233 |2.98 2.25 1.36|1.0   0 351|   0     0 |   0     0 | 25  277    0   37    0
Jan 11 19:50:49 ubuntu dstat.sh[90415]: 11-01 19:50:49|  7   6  80   5   0|5160M  209M  198M 2267M|  19k   13k|  28k  340k|2.00  35.0 |2637  4315 |2.98 2.25 1.36|  0   0 111|   0     0 |   0     0 | 25  277    0   37    0
Jan 11 19:50:50 ubuntu dstat.sh[90415]: 11-01 19:50:50| 14   4  77   4   0|5187M  182M  198M 2267M|  17k 9248 |   0  4804k|   0   552 |3043  3239 |2.98 2.25 1.36|1.0   0  13|   0     0 |   0     0 | 25  279    0   37    0
